Unnamed: 0,DET,SFO
First Downs,15,20
Rush-Yds-TDs,20-84-1,39-142-1
Cmp-Att-Yd-TD-INT,20-36-221-1-2,15-27-192-2-1
Sacked-Yards,0-0,2-9
Net Pass Yards,221,183
Total Yards,305,325
Fumbles-Lost,0-0,3-0
Turnovers,2,1
Penalties-Yards,5-48,4-45
Third Down Conv.,2-11,6-15
Fourth Down Conv.,0-1,0-0
Time of Possession,25:37,34:23
