Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Taylor Moton,T,59,100%,0,0%,2,9%
Greg Van Roten,G,59,100%,0,0%,2,9%
Trai Turner,G,59,100%,0,0%,2,9%
Chris Clark,T,59,100%,0,0%,2,9%
Cam Newton,QB,59,100%,0,0%,0,0%
Christian McCaffrey,RB,59,100%,0,0%,0,0%
Greg Olsen,TE,59,100%,0,0%,0,0%
Ryan Kalil,C,59,100%,0,0%,0,0%
Devin Funchess,WR,54,92%,0,0%,0,0%
Jarius Wright,WR,32,54%,0,0%,0,0%
Torrey Smith,WR,30,51%,0,0%,0,0%
D.J. Moore,WR,27,46%,0,0%,10,45%
Curtis Samuel,WR,19,32%,0,0%,16,73%
Chris Manhertz,TE,6,10%,0,0%,6,27%
Alex Armah,RB,3,5%,0,0%,16,73%
C.J. Anderson,RB,3,5%,0,0%,0,0%
Damiere Byrd,WR,2,3%,0,0%,8,36%
Marshall Newhouse,T,1,2%,0,0%,2,9%
Luke Kuechly,LB,0,0%,67,100%,4,18%
Donte Jackson,CB,0,0%,66,99%,5,23%
James Bradberry,CB,0,0%,66,99%,5,23%
Mike Adams,FS,0,0%,66,99%,4,18%
Thomas Davis,LB,0,0%,58,87%,4,18%
Eric Reid,SS,0,0%,55,82%,3,14%
Wes Horton,DE,0,0%,49,73%,4,18%
Kawann Short,DT,0,0%,49,73%,4,18%
Shaq Thompson,LB,0,0%,42,63%,13,59%
Julius Peppers,DE,0,0%,41,61%,4,18%
Captain Munnerlyn,CB,0,0%,39,58%,0,0%
Dontari Poe,NT,0,0%,34,51%,0,0%
Efe Obada,DE,0,0%,26,39%,3,14%
Kyle Love,NT,0,0%,26,39%,0,0%
Vernon Butler,DT,0,0%,20,30%,4,18%
Mario Addison,DE,0,0%,18,27%,0,0%
Rashaan Gaulden,FS,0,0%,12,18%,8,36%
Jermaine Carter Jr.,LB,0,0%,2,3%,16,73%
David Mayo,LB,0,0%,1,1%,15,68%
Colin Jones,SS,0,0%,0,0%,20,91%
Ben Jacobs,LB,0,0%,0,0%,16,73%
Josh Hawkins,CB,0,0%,0,0%,12,55%
Ian Thomas,TE,0,0%,0,0%,9,41%
Michael Palardy,P,0,0%,0,0%,7,32%
J.J. Jansen,LS,0,0%,0,0%,7,32%
Graham Gano,K,0,0%,0,0%,6,27%
Tyler Larsen,G,0,0%,0,0%,2,9%
