Unnamed: 0,CAR,PHI
First Downs,19,21
Rush-Yds-TDs,17-121-1,24-58-0
Cmp-Att-Yd-TD-INT,25-39-269-2-0,30-37-310-2-0
Sacked-Yards,2-19,4-26
Net Pass Yards,250,284
Total Yards,371,342
Fumbles-Lost,0-0,3-1
Turnovers,0,1
Penalties-Yards,5-78,4-35
Third Down Conv.,5-11,3-12
Fourth Down Conv.,1-1,3-4
Time of Possession,24:43,35:17
