Unnamed: 0,PIT,CLE
First Downs,20,22
Rush-Yds-TDs,22-104-2,38-171-1
Cmp-Att-Yd-TD-INT,20-32-207-0-0,21-31-220-2-0
Sacked-Yards,1-3,2-15
Net Pass Yards,204,205
Total Yards,308,376
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,5-25,5-24
Third Down Conv.,1-9,6-16
Fourth Down Conv.,0-0,3-4
Time of Possession,23:51,36:09
