Quarter,Time,Down,ToGo,Location,OAK,PIT,Detail,EPB,EPA
1,,,,OAK 30,3,3,"Sebastian Janikowski kicks off 55 yards, returned by Carey Davis for 13 yards (tackle by Isaiah Ekejiuba)",0.000,0.810
1,8:30,1,10,PIT 28,3,3,Rashard Mendenhall right guard for 3 yards (tackle by Thomas Howard and Kirk Morrison),0.810,0.670
1,7:52,2,7,PIT 31,3,3,Rashard Mendenhall middle for -4 yards (tackle by Tommy Kelly),0.670,-0.560
1,7:10,3,11,PIT 27,3,3,Ben Roethlisberger pass incomplete short right intended for Heath Miller (defended by Chris Johnson),-0.560,-1.570
1,7:04,4,11,PIT 27,3,3,Daniel Sepulveda punts 37 yards,-1.570,-1.330
1,6:57,1,10,OAK 36,3,3,Bruce Gradkowski pass complete deep middle to Johnnie Lee Higgins for 19 yards (tackle by Tyrone Carter and Ryan Clark),1.330,2.590
1,6:22,1,10,PIT 45,3,3,"Justin Fargas left end for -4 yards (tackle by Tyrone Carter). Penalty on Justin Fargas: Delay of Game, 5 yards",2.590,0.830
1,5:45,2,19,OAK 46,3,3,Justin Fargas right end for 9 yards (tackle by Tyrone Carter and Ryan Clark),0.830,1.360
1,5:00,3,10,PIT 45,3,3,"Bruce Gradkowski pass incomplete short right intended for Darren McFadden. Penalty on Bruce Gradkowski: Intentional Grounding, 13 yards",1.360,-0.590
1,4:54,4,23,OAK 42,3,3,"Shane Lechler punts 58 yards, touchback",-0.590,-0.280
1,4:45,1,10,PIT 20,3,3,Ben Roethlisberger pass complete short right to Hines Ward for 6 yards (tackle by Michael Huff and Stanford Routt),0.280,0.540
1,4:10,2,4,PIT 26,3,3,Rashard Mendenhall right guard for 60 yards (tackle by Chris Johnson),0.540,4.650
1,3:19,1,10,OAK 14,3,3,Rashard Mendenhall middle for 4 yards (tackle by Gerard Warren and Tyvon Branch),4.650,4.710
1,2:38,2,6,OAK 10,3,3,Rashard Mendenhall right guard for 5 yards (tackle by Tommy Kelly),4.710,4.960
1,1:56,3,1,OAK 5,3,3,Rashard Mendenhall middle for no gain (tackle by Sam Williams and Gerard Warren),4.960,3.030
1,1:28,4,1,OAK 5,3,3,Ben Roethlisberger middle for no gain (tackle by Sam Williams and Richard Seymour),3.030,0.380
1,1:15,1,10,OAK 5,3,3,Justin Fargas right guard for 3 yards (tackle by Brett Keisel and James Harrison),-0.380,-0.560
1,0:35,2,7,OAK 8,3,3,Justin Fargas right guard for 4 yards (tackle by James Farrior),-0.560,-0.600
Quarter,Time,Down,ToGo,Location,OAK,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,OAK 12,3,3,Bruce Gradkowski pass incomplete deep right intended for Louis Murphy,-0.600,-2.490
2,14:55,4,3,OAK 12,3,3,"Shane Lechler punts 48 yards, returned by Stefan Logan for no gain. Stefan Logan fumbles, recovered by Ryan Mundy at PIT-39 (tackle by Isaiah Ekejiuba)",-2.490,-1.530
2,14:43,1,10,PIT 39,3,3,Ben Roethlisberger pass complete deep middle to Hines Ward for 27 yards (tackle by Tyvon Branch),1.530,3.310
2,13:58,1,10,OAK 34,3,9,"Ben Roethlisberger pass complete deep right to Santonio Holmes for 34 yards, touchdown",3.310,7.000
2,,,,OAK 2,3,10,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,3,10,"Jeff Reed kicks off 57 yards, returned by Tony Stewart for 8 yards (tackle by Anthony Madison)",0.000,0.340
2,13:44,1,10,OAK 21,3,10,Bruce Gradkowski pass complete short middle to Zach Miller for 16 yards (tackle by James Farrior and Lawrence Timmons),0.340,1.400
2,13:07,1,10,OAK 37,3,10,Darren McFadden right guard for 2 yards (tackle by Brett Keisel and James Harrison),1.400,1.130
2,12:25,2,8,OAK 39,3,10,"Bruce Gradkowski pass incomplete deep right intended for Zach Miller (defended by Ryan Clark). Penalty on Lawrence Timmons: Face Mask (15 Yards), 15 yards (no play)",1.130,2.520
2,12:15,1,10,PIT 46,3,10,"Bruce Gradkowski left end for 20 yards (tackle by Ike Taylor). Penalty on Mario Henderson: Offensive Holding, 10 yards (no play)",2.520,1.860
2,11:48,1,20,OAK 44,3,10,Bruce Gradkowski pass complete short left to Chaz Schilens for 5 yards (tackle by James Harrison),1.860,1.300
2,11:22,2,15,OAK 49,3,10,Darren McFadden left tackle for 1 yard (tackle by James Harrison),1.300,0.760
2,10:37,,,,3,10,Timeout #1 by Oakland Raiders,0.000,0.760
2,10:37,3,14,OAK 50,3,10,Bruce Gradkowski pass complete deep left to Johnnie Lee Higgins for 22 yards (tackle by Ryan Clark),0.760,3.710
2,9:52,1,10,PIT 28,3,10,Darren McFadden right guard for 1 yard (tackle by Nick Eason and Lawrence Timmons),3.710,3.300
2,9:09,2,9,PIT 27,3,10,Michael Bush right guard for 1 yard (tackle by James Harrison and Casey Hampton),3.300,2.740
2,8:27,3,8,PIT 26,3,10,Michael Bush pass incomplete deep left intended for Chaz Schilens,2.740,1.740
2,8:22,4,8,PIT 26,6,10,Sebastian Janikowski 43 yard field goal good,1.740,3.000
2,,,,OAK 30,6,10,"Sebastian Janikowski kicks off 59 yards, returned by Stefan Logan for 15 yards (tackle by Michael Huff)",0.000,0.670
2,8:11,1,10,PIT 26,6,10,Willie Parker right guard for 5 yards (tackle by Kirk Morrison),0.670,0.810
2,7:36,2,5,PIT 31,6,10,"Willie Parker left tackle for 9 yards (tackle by Michael Huff). Penalty on Richard Seymour: Illegal Use of Hands, 5 yards",0.810,1.930
2,7:15,1,10,PIT 45,6,10,Willie Parker left end for 1 yard (tackle by Kirk Morrison),1.930,1.520
2,6:34,2,9,PIT 46,6,10,"Ben Roethlisberger right guard for 18 yards. Penalty on Chris Kemoeatu: Offensive Holding, 10 yards (no play)",1.520,0.170
2,5:58,2,19,PIT 36,6,10,Ben Roethlisberger pass incomplete short left intended for Mike Wallace,0.170,-0.490
2,5:58,3,19,PIT 36,6,10,"Penalty on Chris Kemoeatu: False Start, 5 yards (no play)",-0.490,-1.150
2,5:52,3,24,PIT 31,6,10,Ben Roethlisberger pass complete short right to Santonio Holmes for 11 yards (tackle by Tyvon Branch and Chris Johnson),-1.150,-0.590
2,5:14,4,13,PIT 42,6,10,Daniel Sepulveda punts 53 yards,-0.590,0.380
2,5:10,1,10,OAK 5,6,10,"Penalty on Luke Lawton: False Start, 2 yards (no play)",-0.380,-0.460
2,5:10,1,12,OAK 3,6,10,Justin Fargas middle for 1 yard (tackle by Casey Hampton and LaMarr Woodley),-0.460,-0.850
2,4:29,2,11,OAK 4,6,10,Justin Fargas right tackle for 4 yards (tackle by William Gay and Lawrence Timmons),-0.850,-1.070
2,3:48,3,7,OAK 8,6,10,Justin Fargas middle for 3 yards (tackle by Evander Hood and James Farrior),-1.070,-2.490
2,3:09,4,4,OAK 11,6,10,"Shane Lechler punts 41 yards, fair catch by Stefan Logan",-2.490,-2.130
2,3:01,1,10,PIT 48,6,10,Ben Roethlisberger pass incomplete deep right intended for Heath Miller (defended by Michael Huff),2.130,1.580
2,2:56,2,10,PIT 48,6,10,Ben Roethlisberger pass complete short left to Mike Wallace for 13 yards (tackle by Tyvon Branch),1.580,2.980
2,2:14,1,10,OAK 39,6,10,Ben Roethlisberger pass complete short left to Santonio Holmes for 10 yards (tackle by Nnamdi Asomugha),2.980,3.640
2,2:00,1,10,OAK 29,6,10,"Ben Roethlisberger pass incomplete deep left intended for Santonio Holmes. Penalty on Jay Richardson: Defensive Offside (Offsetting), Penalty on Chris Kemoeatu: Illegal Use of Hands (Offsetting) (no play)",3.640,3.640
2,1:53,1,10,OAK 29,6,10,Mewelde Moore right guard for 7 yards (tackle by Jay Richardson),3.640,4.050
2,1:19,2,3,OAK 22,6,10,Ben Roethlisberger pass complete short left to Mike Wallace for 6 yards (tackle by Nnamdi Asomugha),4.050,4.510
2,1:11,,,,6,10,Timeout #1 by Pittsburgh Steelers,0.000,4.510
2,1:11,1,10,OAK 16,6,10,Ben Roethlisberger pass incomplete deep middle intended for Hines Ward is intercepted by Hiram Eugene,4.510,-0.280
2,0:59,1,10,OAK 20,6,10,Bruce Gradkowski pass complete short right to Zach Miller for 11 yards (tackle by James Harrison and LaMarr Woodley),0.280,1.000
2,0:49,,,,6,10,Timeout #2 by Oakland Raiders,0.000,1.000
2,0:48,1,10,OAK 31,6,10,"Bruce Gradkowski pass incomplete deep left intended for Johnnie Lee Higgins. Penalty on Zach Miller: Offensive Holding, 10 yards (no play)",1.000,0.340
2,0:39,1,20,OAK 21,6,10,Darren McFadden left guard for 4 yards (tackle by Evander Hood and Tyrone Carter),0.340,-0.350
2,0:30,,,,6,10,Timeout #3 by Oakland Raiders,0.000,-0.350
2,0:30,2,16,OAK 25,6,10,Darren McFadden left tackle for 2 yards (tackle by Evander Hood and Brett Keisel),-0.350,-0.760
2,0:24,,,,6,10,Timeout #2 by Pittsburgh Steelers,0.000,-0.760
2,0:24,3,14,OAK 27,6,10,Justin Fargas right end for 13 yards (tackle by William Gay and Ryan Clark),-0.760,-0.720
2,0:15,,,,6,10,Timeout #3 by Pittsburgh Steelers,0.000,-0.720
2,0:14,4,1,OAK 40,6,10,"Shane Lechler punts 38 yards, fair catch by Mewelde Moore",-0.720,-0.410
2,0:07,1,10,PIT 22,6,10,Ben Roethlisberger kneels for -1 yards,0.410,-0.270
Quarter,Time,Down,ToGo,Location,OAK,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,6,10,"Jeff Reed kicks off 67 yards, returned by Gary Russell for 23 yards (tackle by Anthony Madison)",0.000,0.670
3,14:53,1,10,OAK 26,6,10,Justin Fargas left guard for 2 yards (tackle by James Farrior and Lawrence Timmons),0.670,0.400
3,14:15,2,8,OAK 28,6,10,Bruce Gradkowski pass incomplete short left intended for Zach Miller,0.400,-0.300
3,14:10,3,8,OAK 28,6,10,Bruce Gradkowski pass complete short right to Zach Miller for 10 yards (tackle by LaMarr Woodley),-0.300,1.470
3,13:33,1,10,OAK 38,6,10,Bruce Gradkowski pass incomplete deep left intended for Johnnie Lee Higgins,1.470,0.920
3,13:24,,,,6,10,Timeout #1 by Oakland Raiders,0.000,0.920
3,13:24,2,10,OAK 38,6,10,"Bruce Gradkowski left end for 10 yards (tackle by Ike Taylor). Penalty on Todd Watkins: Offensive Holding, 10 yards",0.920,0.920
3,12:25,2,10,OAK 38,6,10,Bruce Gradkowski pass complete short right to Chaz Schilens for 23 yards (tackle by William Gay and Ryan Clark),0.920,2.980
3,12:05,1,10,PIT 39,6,10,Bruce Gradkowski sacked by LaMarr Woodley for -16 yards,2.980,0.280
3,11:26,2,26,OAK 45,6,10,Bruce Gradkowski pass incomplete short left intended for Chaz Schilens,0.280,-0.360
3,11:21,3,26,OAK 45,6,10,Bruce Gradkowski pass incomplete short right intended for Zach Miller,-0.360,-0.390
3,11:16,4,26,OAK 45,6,10,"Shane Lechler punts 55 yards, touchback",-0.390,-0.280
3,11:07,1,10,PIT 20,6,10,Rashard Mendenhall right tackle for 3 yards (tackle by Tyvon Branch and Matt Shaughnessy),0.280,0.140
3,10:27,2,7,PIT 23,6,10,Rashard Mendenhall middle for 6 yards (tackle by Kirk Morrison),0.140,0.230
3,9:51,3,1,PIT 29,6,10,Rashard Mendenhall middle for 4 yards (tackle by Richard Seymour and Tyvon Branch),0.230,1.140
3,9:13,1,10,PIT 33,6,10,Rashard Mendenhall right tackle for 3 yards (tackle by Chris Johnson),1.140,1.000
3,8:34,2,7,PIT 36,6,10,Rashard Mendenhall right guard for no gain (tackle by Tommy Kelly and Trevor Scott),1.000,0.300
3,7:52,3,7,PIT 36,6,10,Ben Roethlisberger pass complete short left to Mewelde Moore for 6 yards (tackle by Tyvon Branch),0.300,-0.590
3,7:12,4,1,PIT 42,6,10,"Daniel Sepulveda punts 40 yards, fair catch by Johnnie Lee Higgins",-0.590,-0.040
3,7:04,1,10,OAK 18,6,10,Bruce Gradkowski sacked by LaMarr Woodley for -2 yards,0.040,-0.800
3,6:27,2,12,OAK 16,6,10,Bruce Gradkowski pass complete short right to Tony Stewart for 1 yard (tackle by LaMarr Woodley),-0.800,-1.340
3,5:43,3,11,OAK 17,6,10,Bruce Gradkowski pass incomplete short right intended for Johnnie Lee Higgins (defended by William Gay),-1.340,-2.320
3,5:35,4,11,OAK 17,6,10,"Shane Lechler punts 41 yards, fair catch by Stefan Logan",-2.320,-1.730
3,5:29,1,10,PIT 42,6,10,Ben Roethlisberger pass complete short right to Santonio Holmes for 7 yards (tackle by Chris Johnson),1.730,2.130
3,4:51,2,3,PIT 49,6,10,Rashard Mendenhall right guard for 2 yards (tackle by Gerard Warren),2.130,1.690
3,4:05,,,,6,10,Timeout #1 by Pittsburgh Steelers,0.000,1.690
3,4:05,3,1,OAK 49,6,10,Rashard Mendenhall right guard for 2 yards (tackle by Kirk Morrison and Tyvon Branch),1.690,2.460
3,3:28,1,10,OAK 47,6,10,Ben Roethlisberger pass complete short left to Santonio Holmes for 5 yards (tackle by Michael Huff),2.460,2.590
3,2:48,2,5,OAK 42,6,10,Rashard Mendenhall left guard for -1 yards (tackle by Thomas Howard),2.590,1.750
3,2:07,3,6,OAK 43,6,10,Ben Roethlisberger pass complete short right to Hines Ward for 14 yards (tackle by Chris Johnson and Michael Mitchell). Penalty on Jay Richardson: Illegal Contact (Declined),1.750,3.640
3,1:44,1,10,OAK 29,6,10,Rashard Mendenhall right tackle for 2 yards (tackle by Jay Richardson and William Joseph),3.640,3.370
3,1:01,2,8,OAK 27,6,10,Rashard Mendenhall left guard for 2 yards (tackle by Thomas Howard and Michael Mitchell),3.370,2.940
3,0:15,3,6,OAK 25,6,10,Ben Roethlisberger sacked by Trevor Scott for -9 yards,2.940,1.060
Quarter,Time,Down,ToGo,Location,OAK,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,15,OAK 34,6,10,Jeff Reed 53 yard field goal no good,1.060,-1.800
4,14:55,1,10,OAK 43,6,10,Justin Fargas right guard for 2 yards (tackle by Brett Keisel),1.800,1.520
4,14:15,2,8,OAK 45,6,10,Justin Fargas right guard for 1 yard (tackle by James Farrior and Brett Keisel),1.520,0.960
4,13:34,3,7,OAK 46,6,10,Bruce Gradkowski pass complete short middle to Zach Miller for 6 yards (tackle by James Farrior and Tyrone Carter),0.960,0.070
4,12:51,4,1,PIT 48,6,10,Bruce Gradkowski middle for 2 yards (tackle by Nick Eason),0.070,2.520
4,12:09,,,,6,10,Timeout #2 by Oakland Raiders,0.000,2.520
4,12:09,1,10,PIT 46,6,10,Bruce Gradkowski pass incomplete short left intended for Darren McFadden,2.520,1.980
4,12:03,2,10,PIT 46,6,10,Justin Fargas middle for 7 yards (tackle by Brett Keisel),1.980,2.210
4,11:21,3,3,PIT 39,6,10,Bruce Gradkowski right tackle for 8 yards (tackle by Tyrone Carter),2.210,3.510
4,10:34,1,10,PIT 31,6,10,Justin Fargas left tackle for 3 yards (tackle by James Farrior),3.510,3.370
4,9:56,2,7,PIT 28,6,10,Bruce Gradkowski pass complete short right to Johnnie Lee Higgins for 5 yards (tackle by Lawrence Timmons),3.370,3.340
4,9:13,3,2,PIT 23,6,10,Darren McFadden left end for 6 yards (tackle by Ryan Clark and James Harrison),3.340,4.440
4,8:27,1,10,PIT 17,12,10,"Bruce Gradkowski pass complete deep left to Chaz Schilens for 17 yards, touchdown",4.440,7.000
4,,,,PIT 2,13,10,Sebastian Janikowski kicks extra point good,0.000,0.000
4,,,,OAK 30,13,10,"Sebastian Janikowski kicks off 67 yards, returned by Stefan Logan for 37 yards (tackle by Brandon Myers)",0.000,1.600
4,8:12,1,10,PIT 40,13,10,Ben Roethlisberger pass complete deep left to Santonio Holmes for 57 yards (tackle by Tyvon Branch),1.600,6.510
4,8:12,1,3,OAK 3,13,16,"Rashard Mendenhall left end for 3 yards, touchdown",6.510,7.000
4,,,,OAK 2,13,17,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,13,17,"Jeff Reed kicks off 63 yards, returned by Gary Russell for 9 yards (tackle by Ryan Mundy)",0.000,-0.140
4,7:06,1,10,OAK 16,13,17,Justin Fargas right guard for 6 yards (tackle by Brett Keisel and James Farrior),-0.140,0.280
4,6:26,2,4,OAK 22,13,17,Bruce Gradkowski pass complete short right to Tony Stewart for 3 yards (tackle by LaMarr Woodley),0.280,-0.200
4,5:42,3,1,OAK 25,19,17,"Bruce Gradkowski pass complete deep left to Louis Murphy for 75 yards, touchdown",-0.200,7.000
4,,,,PIT 2,20,17,Sebastian Janikowski kicks extra point good,0.000,0.000
4,,,,OAK 30,20,17,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
4,5:28,1,10,PIT 20,20,17,Ben Roethlisberger pass complete deep right to Heath Miller for 27 yards (tackle by Michael Huff),0.280,2.060
4,4:46,1,10,PIT 47,20,17,Rashard Mendenhall right tackle for 8 yards (tackle by Kirk Morrison),2.060,2.600
4,4:08,2,2,OAK 45,20,17,Ben Roethlisberger pass complete short right to Hines Ward for 4 yards (tackle by Chris Johnson),2.600,2.850
4,4:03,1,10,OAK 41,20,17,Ben Roethlisberger pass complete deep right to Santonio Holmes for 20 yards (tackle by Michael Huff),2.850,4.170
4,3:25,1,10,OAK 21,20,17,Rashard Mendenhall right end for 2 yards (tackle by Tyvon Branch),4.170,3.900
4,2:42,2,8,OAK 19,20,17,Ben Roethlisberger right guard for 8 yards (tackle by Kirk Morrison and Chris Johnson),3.900,4.840
4,2:00,1,10,OAK 11,20,23,"Ben Roethlisberger pass complete short right to Hines Ward for 11 yards, touchdown",4.840,7.000
4,,,,OAK 2,20,24,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,20,24,"Jeff Reed kicks off 54 yards, returned by Gary Russell for 6 yards (tackle by Stefan Logan). Penalty on Sam Williams: Offensive Holding, 10 yards",0.000,-0.350
4,1:48,1,10,OAK 12,20,24,Bruce Gradkowski pass complete deep right to Johnnie Lee Higgins for 17 yards (tackle by William Gay),-0.350,0.870
4,1:41,1,10,OAK 29,20,24,Bruce Gradkowski pass incomplete deep left intended for Johnnie Lee Higgins,0.870,0.330
4,1:35,2,10,OAK 29,20,24,Bruce Gradkowski pass incomplete short right intended for Chaz Schilens (defended by Ryan Mundy),0.330,-0.360
4,1:29,3,10,OAK 29,20,24,Bruce Gradkowski pass complete short middle to Todd Watkins for 12 yards (tackle by Ryan Clark),-0.360,1.660
4,0:58,1,10,OAK 41,20,24,Bruce Gradkowski pass incomplete short left intended for Justin Fargas,1.660,1.120
4,0:53,2,10,OAK 41,20,24,Bruce Gradkowski pass complete deep right to Louis Murphy for 19 yards (tackle by William Gay),1.120,2.920
4,0:41,,,,20,24,Timeout #2 by Pittsburgh Steelers,0.000,2.920
4,0:41,1,10,PIT 40,20,24,Bruce Gradkowski pass incomplete deep right intended for Louis Murphy,2.920,2.370
4,0:35,2,10,PIT 40,20,24,Bruce Gradkowski pass complete deep left to Louis Murphy for 23 yards (tackle by Ike Taylor),2.370,4.440
4,0:27,1,10,PIT 17,20,24,"Penalty on Bruce Gradkowski: Delay of Game, 5 yards (no play)",4.440,4.110
4,0:27,1,15,PIT 22,20,24,"Bruce Gradkowski pass incomplete deep middle intended for Johnnie Lee Higgins (defended by Ryan Clark). Penalty on Ryan Mundy: Unnecessary Roughness, 11 yards (no play)",4.110,4.840
4,0:21,1,10,PIT 11,20,24,Bruce Gradkowski pass incomplete short middle intended for Todd Watkins,4.840,4.140
4,0:15,2,10,PIT 11,26,24,"Bruce Gradkowski pass complete short left to Louis Murphy for 11 yards, touchdown",4.140,7.000
4,,,,PIT 2,27,24,Sebastian Janikowski kicks extra point good,0.000,0.000
4,,,,OAK 30,27,24,Sebastian Janikowski kicks off 35 yards,0.000,1.270
4,0:08,1,10,PIT 35,27,24,Ben Roethlisberger pass complete short right to Hines Ward for 15 yards (tackle by Michael Huff),1.270,2.260
4,0:03,1,10,PIT 50,27,24,Ben Roethlisberger pass incomplete short right intended for Limas Sweed (defended by Hiram Eugene),2.260,1.710
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
