Quarter,Time,Tm,Detail,OAK,PIT
1.0,13:34,Steelers,Jeff Reed 33 yard field goal,0,3
,8:36,Raiders,Sebastian Janikowski 48 yard field goal,3,3
2.0,13:49,Steelers,Santonio Holmes 34 yard pass from Ben Roethlisberger (Jeff Reed kick),3,10
,8:17,Raiders,Sebastian Janikowski 43 yard field goal,6,10
4.0,8:21,Raiders,Chaz Schilens 17 yard pass from Bruce Gradkowski (Sebastian Janikowski kick),13,10
,7:13,Steelers,Rashard Mendenhall 3 yard rush (Jeff Reed kick),13,17
,5:28,Raiders,Louis Murphy 75 yard pass from Bruce Gradkowski (Sebastian Janikowski kick),20,17
,1:56,Steelers,Hines Ward 11 yard pass from Ben Roethlisberger (Jeff Reed kick),20,24
,0:09,Raiders,Louis Murphy 11 yard pass from Bruce Gradkowski (Sebastian Janikowski kick),27,24
