Unnamed: 0,OAK,PIT
First Downs,19,19
Rush-Yds-TDs,28-109-0,27-132-1
Cmp-Att-Yd-TD-INT,20-34-308-3-0,18-24-278-2-1
Sacked-Yards,3-21,1-9
Net Pass Yards,287,269
Total Yards,396,401
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,9-70,4-41
Third Down Conv.,6-16,3-9
Fourth Down Conv.,2-2,0-1
Time of Possession,32:49,27:11
