Unnamed: 0,BAL,KAN
First Downs,15,19
Rush-Yds-TDs,24-133-0,51-214-0
Cmp-Att-Yd-TD-INT,13-27-187-0-1,11-17-124-0-2
Sacked-Yards,4-22,0-0
Net Pass Yards,165,124
Total Yards,298,338
Fumbles-Lost,1-1,3-2
Turnovers,2,4
Penalties-Yards,5-33,8-60
Third Down Conv.,3-11,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,25:50,34:10
