Unnamed: 0,HOU,IND
First Downs,18,23
Rush-Yds-TDs,28-131-2,27-122-0
Cmp-Att-Yd-TD-INT,20-26-150-1-1,22-30-269-3-0
Sacked-Yards,2-11,0-0
Net Pass Yards,139,269
Total Yards,270,391
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,7-52,3-13
Third Down Conv.,4-10,5-11
Fourth Down Conv.,1-1,0-0
Time of Possession,30:32,29:28
