Quarter,Time,Tm,Detail,ATL,GNB
1.0,9:53,Falcons,Justin Peelle 1 yard pass from Matt Ryan (Jason Elam kick),7,0
,4:15,Falcons,Jason Elam 42 yard field goal,10,0
2.0,9:42,Packers,Donald Driver 44 yard pass from Aaron Rodgers (Mason Crosby kick),10,7
,6:02,Falcons,Roddy White 22 yard pass from Matt Ryan (Jason Elam kick),17,7
3.0,0:27,Packers,Mason Crosby 50 yard field goal,17,10
4.0,10:08,Packers,Greg Jennings 25 yard pass from Aaron Rodgers (Mason Crosby kick),17,17
,7:19,Falcons,Jason Elam 41 yard field goal,20,17
,3:35,Falcons,Michael Turner 2 yard rush (Jason Elam kick),27,17
,1:56,Packers,Donald Lee 4 yard pass from Aaron Rodgers (Mason Crosby kick),27,24
