Unnamed: 0,ATL,GNB
First Downs,22,21
Rush-Yds-TDs,36-176-1,23-104-0
Cmp-Att-Yd-TD-INT,16-26-194-2-1,25-37-313-3-1
Sacked-Yards,0-0,2-9
Net Pass Yards,194,304
Total Yards,370,408
Fumbles-Lost,2-0,0-0
Turnovers,1,1
Penalties-Yards,2-15,9-97
Third Down Conv.,6-12,7-13
Fourth Down Conv.,1-1,0-0
Time of Possession,28:43,31:17
