Unnamed: 0,NWE,BUF
First Downs,28,23
Rush-Yds-TDs,15-56-1,27-160-2
Cmp-Att-Yd-TD-INT,38-59-466-3-0,23-30-242-3-3
Sacked-Yards,2-15,8-53
Net Pass Yards,451,189
Total Yards,507,349
Fumbles-Lost,2-2,3-0
Turnovers,2,3
Penalties-Yards,11-119,14-140
Third Down Conv.,3-10,4-13
Fourth Down Conv.,0-2,1-1
Time of Possession,29:57,30:03
