Quarter,Time,Tm,Detail,DEN,OAK
1.0,7:35,Raiders,LaMont Jordan 1 yard rush (Sebastian Janikowski kick),0,7
,0:57,Broncos,Javon Walker 39 yard pass from Jake Plummer (Jason Elam kick),7,7
2.0,7:28,Raiders,Sebastian Janikowski 55 yard field goal,7,10
,0:57,Raiders,Sebastian Janikowski 20 yard field goal,7,13
4.0,11:06,Broncos,Kyle Johnson 1 yard pass from Jake Plummer (Jason Elam kick),14,13
,1:56,Broncos,Jason Elam 24 yard field goal,17,13
