Unnamed: 0,DEN,OAK
First Downs,13,13
Rush-Yds-TDs,26-63-0,26-46-1
Cmp-Att-Yd-TD-INT,20-31-210-2-3,18-33-214-0-0
Sacked-Yards,2-9,3-16
Net Pass Yards,201,198
Total Yards,264,244
Fumbles-Lost,2-0,2-2
Turnovers,3,2
Penalties-Yards,4-15,3-25
Third Down Conv.,3-14,5-16
Fourth Down Conv.,1-2,0-0
Time of Possession,30:15,29:45
