Unnamed: 0,LVR,CHI
First Downs,20,23
Rush-Yds-TDs,14-39-0,38-173-2
Cmp-Att-Yd-TD-INT,27-45-204-1-3,21-29-162-1-0
Sacked-Yards,1-8,2-12
Net Pass Yards,196,150
Total Yards,235,323
Fumbles-Lost,0-0,1-0
Turnovers,3,0
Penalties-Yards,2-15,9-110
Third Down Conv.,2-9,8-13
Fourth Down Conv.,2-2,0-1
Time of Possession,25:54,34:06
