Quarter,Time,Tm,Detail,LVR,CHI
1.0,3:45,Bears,D'Onta Foreman 2 yard rush (Cairo Santos kick),0,7
2.0,7:31,Bears,D'Onta Foreman 3 yard rush (Cairo Santos kick),0,14
,1:47,Raiders,Daniel Carlson 40 yard field goal,3,14
3.0,4:04,Bears,D'Onta Foreman 5 yard pass from Tyson Bagent (Cairo Santos kick),3,21
4.0,12:20,Raiders,Daniel Carlson 25 yard field goal,6,21
,5:46,Bears,Cairo Santos 54 yard field goal,6,24
,5:36,Bears,Jaylon Johnson 39 yard interception return (Cairo Santos kick failed),6,30
,1:10,Raiders,Jakobi Meyers 9 yard pass from Aidan O'Connell (pass failed),12,30
