Quarter,Time,Down,ToGo,Location,LVR,CHI,Detail,EPB,EPA
2,8:24,1,10,LVR 19,0,7,Tyson Bagent pass complete short right to Marcedes Lewis for 16 yards (tackle by Isaac Rochell and Marcus Peters),4.310,6.510
2,7:41,1,3,LVR 3,0,7,Tyson Bagent pass incomplete short right intended for Darnell Mooney,6.510,5.530
2,7:35,2,3,LVR 3,0,13,"D'Onta Foreman left guard for 3 yards, touchdown",5.530,7.000
2,7:31,,,LVR 15,0,14,Cairo Santos kicks extra point good,0.000,0.000
2,7:31,,,CHI 35,0,14,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,7:31,1,10,LVR 25,0,14,Josh Jacobs left guard for 3 yards (tackle by Elijah Hicks and Jaylon Johnson),0.610,0.470
2,6:55,2,7,LVR 28,0,14,Brian Hoyer pass complete short right to Jakobi Meyers for 8 yards (tackle by Jaylon Johnson),0.470,1.330
2,6:19,1,10,LVR 36,0,14,Brian Hoyer pass complete short left to Jakobi Meyers for 8 yards (tackle by Jaylon Johnson),1.330,1.870
2,5:42,2,2,LVR 44,0,14,Brian Hoyer pass complete short left to Jakobi Meyers for 2 yards (tackle by Tyrique Stevenson),1.870,1.990
2,5:11,1,10,LVR 46,0,14,Josh Jacobs right guard for 3 yards (tackle by Tremaine Edmunds),1.990,1.860
2,4:35,2,7,LVR 49,0,14,Brian Hoyer pass complete short right to Jakobi Meyers for 15 yards (tackle by T.J. Edwards),1.860,3.180
2,3:57,1,10,CHI 36,0,14,Brian Hoyer pass incomplete short right intended for Josh Jacobs (defended by Justin Jones) (defended by Jaquan Brisker),3.180,2.640
2,3:52,2,10,CHI 36,0,14,Brian Hoyer pass complete short middle to Austin Hooper for 12 yards (tackle by T.J. Edwards),2.640,3.970
2,3:10,1,10,CHI 24,0,14,"Penalty on Jakob Johnson: False Start, 5 yards (accepted) (no play)",3.970,3.640
2,2:56,1,15,CHI 29,0,14,"Josh Jacobs left end for no gain. Penalty on Jakob Johnson: Offensive Holding, 10 yards (accepted) (no play)",3.640,2.980
2,2:39,1,25,CHI 39,0,14,Brian Hoyer pass incomplete short left intended for Jakobi Meyers,2.980,1.400
2,2:35,2,25,CHI 39,0,14,"Brian Hoyer pass incomplete short left intended for Jakobi Meyers. Penalty on Tyrique Stevenson: Defensive Pass Interference, 14 yards (accepted) (no play)",1.400,3.910
2,2:31,1,10,CHI 25,0,14,Josh Jacobs left guard for 4 yards (tackle by Jaquan Brisker),3.910,3.900
2,2:00,2,6,CHI 21,0,14,Brian Hoyer pass incomplete short middle intended for Jakobi Meyers,3.900,3.200
2,1:56,3,6,CHI 21,0,14,Brian Hoyer pass incomplete short middle intended for Michael Mayer,3.200,2.080
2,1:52,4,6,CHI 21,3,14,Daniel Carlson 40 yard field goal good,2.080,3.000
2,1:47,,,LVR 35,3,14,"Daniel Carlson kicks off 66 yards, returned by Velus Jones for 22 yards (tackle by Luke Masterson)",0.000,0.340
2,1:43,1,10,CHI 21,3,14,Tyson Bagent pass complete short right to Tyler Scott for 6 yards,0.340,0.610
2,1:36,2,4,CHI 27,3,14,Tyson Bagent pass complete short right to D.J. Moore for 8 yards (tackle by Amik Robertson and Marcus Peters),0.610,1.270
2,1:04,1,10,CHI 35,3,14,Tyson Bagent pass complete short left to Darnell Mooney for 7 yards,1.270,1.670
2,0:59,2,3,CHI 42,3,14,"Darrynton Evans left tackle for no gain. Penalty on Larry Borom: Offensive Holding, 10 yards (accepted) (no play)",1.670,0.320
2,0:53,2,13,CHI 32,3,14,Tyson Bagent pass complete short right to Darnell Mooney for 6 yards (tackle by Amik Robertson),0.320,0.430
2,0:26,3,7,CHI 38,3,14,Tyson Bagent pass complete short right to D.J. Moore for 15 yards,0.430,2.460
2,0:19,1,10,LVR 47,3,14,Tyson Bagent pass incomplete short middle intended for Darrynton Evans (defended by Adam Butler),2.460,1.910
2,0:15,2,10,LVR 47,3,14,Tyson Bagent sacked by Maxx Crosby for -7 yards,1.910,0.300
2,0:09,,,,,,Timeout #1 by Chicago Bears,,
2,0:09,,,,,,Timeout #1 by Las Vegas Raiders,,
2,0:09,3,17,CHI 46,3,14,Tyson Bagent pass incomplete short right intended for Tyler Scott (defended by Luke Masterson),0.300,-0.320
2,0:02,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:02,4,17,CHI 46,3,14,"Nathan Peterman sacked by Tyree Wilson for -5 yards. Nathan Peterman fumbles, ball out of bounds at CHI-42 (forced by Tyree Wilson). Nathan Peterman fumbles out of bounds",-0.320,2.320
Quarter,Time,Down,ToGo,Location,LVR,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,3,14,"Cairo Santos kicks off 66 yards, returned by DeAndre Carter for 25 yards (tackle by Travis Homer)",0.000,0.540
3,14:55,1,10,LVR 24,3,14,Josh Jacobs left tackle for 7 yards (tackle by Tremaine Edmunds and Kyler Gordon),0.540,0.940
3,14:26,2,3,LVR 31,3,14,Josh Jacobs left tackle for 11 yards (tackle by Elijah Hicks and Justin Jones),0.940,1.730
3,13:49,1,10,LVR 42,3,14,Josh Jacobs left tackle for 1 yard (tackle by Justin Jones),1.730,1.320
3,13:11,2,9,LVR 43,3,14,Zamir White right end for 2 yards (tackle by Kyler Gordon),1.320,0.890
3,12:30,3,7,LVR 45,3,14,Brian Hoyer pass incomplete short middle intended for Jakobi Meyers (defended by Kyler Gordon),0.890,-0.390
3,12:27,4,7,LVR 45,3,14,AJ Cole punts 43 yards out of bounds,-0.390,0.350
3,12:20,1,10,CHI 12,3,14,"Penalty on Darnell Wright: False Start, 5 yards (accepted) (no play)",-0.350,-0.570
3,12:20,1,15,CHI 7,3,14,D'Onta Foreman left tackle for 14 yards (tackle by Marcus Epps),-0.570,0.420
3,11:41,2,1,CHI 21,3,14,D'Onta Foreman right tackle for 9 yards (tackle by Robert Spillane and Amik Robertson),0.420,0.940
3,11:13,1,10,CHI 30,3,14,D'Onta Foreman left tackle for -1 yards (tackle by Malcolm Koonce),0.940,0.260
3,10:35,2,11,CHI 29,3,14,Tyson Bagent scrambles left guard for 12 yards (tackle by Luke Masterson),0.260,1.660
3,9:49,1,10,CHI 41,3,14,Tyson Bagent pass complete short left to D'Onta Foreman for 17 yards,1.660,2.790
3,9:13,1,10,LVR 42,3,14,Darrynton Evans left end for 6 yards (tackle by Tre'von Moehrig),2.790,3.120
3,8:34,2,3,LVR 36,3,14,Darrynton Evans right tackle for 7 yards (tackle by Tre'von Moehrig and Marcus Epps),3.120,3.640
3,7:55,1,10,LVR 29,3,14,Tyson Bagent pass complete short left to D.J. Moore for 4 yards (tackle by Kana'i Mauga and David Long),3.640,3.640
3,7:24,2,6,LVR 25,3,14,Tyson Bagent pass incomplete short left intended for D'Onta Foreman,3.640,2.940
3,7:18,3,6,LVR 25,3,14,Tyson Bagent pass complete short right to Darrynton Evans for 6 yards (tackle by Marcus Peters and Maxx Crosby),2.940,4.310
3,6:27,1,10,LVR 19,3,14,Tyson Bagent pass complete short left to Khari Blasingame for 4 yards (tackle by Kana'i Mauga and Luke Masterson),4.310,4.350
3,5:38,2,6,LVR 15,3,14,Tyson Bagent pass complete short middle to D'Onta Foreman for 9 yards (tackle by Luke Masterson and Tre'von Moehrig),4.350,5.830
3,4:59,1,6,LVR 6,3,14,Darrynton Evans left guard for 1 yard (tackle by Luke Masterson and Malcolm Koonce),5.830,5.150
3,4:14,2,5,LVR 5,3,14,Tyson Bagent pass incomplete short right intended for D.J. Moore (defended by Marcus Peters),5.150,4.260
3,4:09,3,5,LVR 5,3,20,"Tyson Bagent pass complete short right to D'Onta Foreman for 5 yards, touchdown",4.260,7.000
3,4:04,,,LVR 15,3,21,Cairo Santos kicks extra point good,0.000,0.000
3,4:04,,,CHI 35,3,21,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,4:04,1,10,LVR 25,3,21,Brian Hoyer pass incomplete short right intended for Jakobi Meyers,0.610,0.060
3,3:59,2,10,LVR 25,3,21,Brian Hoyer pass complete short left to Michael Mayer for 11 yards (tackle by Tremaine Edmunds),0.060,1.330
3,3:21,1,10,LVR 36,3,21,Brian Hoyer pass complete short left to Davante Adams for 5 yards,1.330,1.470
3,2:48,2,5,LVR 41,3,21,Brian Hoyer pass complete short left to Michael Mayer for 2 yards (tackle by Jaquan Brisker),1.470,1.030
3,2:05,3,3,LVR 43,3,21,Brian Hoyer pass complete short left to Jakobi Meyers for 4 yards (tackle by Jaquan Brisker),1.030,2.060
3,1:27,1,10,LVR 47,3,21,Brian Hoyer sacked by Justin Jones for -8 yards,2.060,0.440
3,0:45,2,18,LVR 39,3,21,Brian Hoyer pass incomplete deep middle intended for Davante Adams (defended by Tyrique Stevenson),0.440,-0.360
3,0:39,3,19,LVR 38,3,21,"Brian Hoyer pass incomplete deep right intended for Jakobi Meyers. Penalty on Jaylon Johnson: Defensive Pass Interference, 46 yards (accepted) (no play)",-0.360,4.580
3,0:32,1,10,CHI 15,3,21,Brian Hoyer pass complete short left to Josh Jacobs for 6 yards (tackle by Tremaine Edmunds),4.580,5.030
Quarter,Time,Down,ToGo,Location,LVR,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,CHI 9,3,21,Zamir White for no gain (tackle by Rasheem Green and Jaquan Brisker),5.030,4.220
4,14:17,3,4,CHI 9,3,21,"Brian Hoyer pass complete to Josh Jacobs for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Brian Hoyer pass incomplete short left intended for Josh Jacobs (defended by Tremaine Edmunds)",4.220,2.900
4,14:12,4,4,CHI 9,3,21,Brian Hoyer pass complete short left to Davante Adams for 4 yards,2.900,6.060
4,13:46,1,5,CHI 5,3,21,Josh Jacobs left end for -5 yards (tackle by Jack Sanborn),6.060,4.190
4,13:05,2,10,CHI 10,3,21,Brian Hoyer pass complete short left to Jakobi Meyers for 4 yards (tackle by Jaquan Brisker),4.190,4.040
4,12:28,3,6,CHI 6,3,21,Brian Hoyer pass incomplete short left intended for Davante Adams,4.040,2.990
4,12:24,4,6,CHI 6,6,21,Daniel Carlson 25 yard field goal good,2.990,3.000
4,12:20,,,LVR 35,6,21,"Daniel Carlson kicks off 65 yards, returned by Velus Jones for 27 yards (tackle by Malcolm Koonce)",0.000,0.740
4,12:14,1,10,CHI 27,6,21,"Penalty on Cole Kmet: False Start, 5 yards (accepted) (no play)",0.740,0.410
4,12:14,1,15,CHI 22,6,21,D'Onta Foreman left end for 6 yards (tackle by Amik Robertson),0.410,0.330
4,11:33,2,9,CHI 28,6,21,D'Onta Foreman right tackle for 12 yards (tackle by Tre'von Moehrig),0.330,1.600
4,11:12,1,10,CHI 40,6,21,Darrynton Evans left end for 1 yard (tackle by Robert Spillane),1.600,1.190
4,10:29,2,9,CHI 41,6,21,Darrynton Evans right tackle for 4 yards (tackle by Robert Spillane and Marcus Peters),1.190,1.030
4,9:47,3,5,CHI 45,6,21,Tyson Bagent pass complete short left to D.J. Moore for 13 yards (tackle by David Long),1.030,2.790
4,9:09,1,10,LVR 42,6,21,Darrynton Evans left tackle for 3 yards (tackle by John Jenkins and Isaac Rochell),2.790,2.780
4,8:25,2,6,LVR 38,6,21,Darrynton Evans left guard for 11 yards (tackle by Marcus Peters and Marcus Epps),2.780,3.710
4,7:40,1,10,LVR 28,6,21,Darrynton Evans left end for 1 yard (tackle by Isaac Rochell),3.710,3.300
4,6:57,2,9,LVR 27,6,21,"Darrynton Evans for 2 yards (tackle by Tre'von Moehrig). Penalty on Teven Jenkins: Offensive Holding, 10 yards (accepted)",3.300,2.220
4,6:32,2,17,LVR 35,6,21,"Penalty on Cole Kmet: False Start, 5 yards (accepted) (no play)",2.220,1.550
4,6:32,2,22,LVR 40,6,21,D'Onta Foreman right guard for 4 yards (tackle by Maxx Crosby),1.550,1.420
4,5:54,3,18,LVR 36,6,21,Tyson Bagent pass incomplete short left intended for Travis Homer,1.420,0.880
4,5:51,4,18,LVR 36,6,24,Cairo Santos 54 yard field goal good,0.880,3.000
4,5:46,,,CHI 35,6,24,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
4,5:46,1,10,LVR 25,6,30,"Brian Hoyer pass short left intended for Davante Adams is intercepted by Jaylon Johnson at LV-39 and returned for 39 yards, touchdown",0.610,-7.000
4,5:36,,,LVR 15,6,30,Cairo Santos kicks extra point blocked blocked by Isaac Rochell,0.000,-1.000
4,5:36,,,CHI 35,6,30,"Cairo Santos kicks off 70 yards, returned by DeAndre Carter for 26 yards (tackle by Velus Jones and Elijah Hicks)",0.000,0.340
4,5:33,1,10,LVR 21,6,30,Aidan O'Connell pass incomplete short middle intended for Hunter Renfrow,0.340,-0.200
4,5:28,2,10,LVR 21,6,30,Aidan O'Connell pass incomplete short left intended for Tre Tucker,-0.200,-0.890
4,5:26,3,10,LVR 21,6,30,Aidan O'Connell pass complete short right to Austin Hooper for 6 yards (tackle by Kyler Gordon and Tremaine Edmunds),-0.890,-1.570
4,4:43,4,4,LVR 27,6,30,Aidan O'Connell pass complete short left to Hunter Renfrow for 9 yards (tackle by Elijah Hicks),-1.570,1.330
4,4:39,1,10,LVR 36,6,30,Aidan O'Connell pass deep right intended for Jakobi Meyers is intercepted by Jaylon Johnson at CHI-25 and returned for no gain (tackle by Jakobi Meyers),1.330,-0.610
4,4:32,1,10,CHI 25,6,30,D'Onta Foreman right guard for 2 yards (tackle by Maxx Crosby and Marcus Peters),0.610,0.330
4,3:50,2,8,CHI 27,6,30,D'Onta Foreman left end for 2 yards (tackle by Bilal Nichols and Tyree Wilson),0.330,-0.100
4,3:44,,,,,,Timeout #1 by Las Vegas Raiders,,
4,3:44,3,6,CHI 29,6,30,Darrynton Evans left end for 1 yard (tackle by Tyree Wilson and Bilal Nichols),-0.100,-1.370
4,3:38,,,,,,Timeout #2 by Las Vegas Raiders,,
4,3:38,4,5,CHI 30,6,30,Trenton Gill punts 30 yards out of bounds,-1.370,-1.660
4,3:32,1,10,LVR 41,6,30,Aidan O'Connell pass complete short left to Tre Tucker for 12 yards (tackle by Tyrique Stevenson),1.660,2.390
4,3:07,1,10,CHI 48,6,30,Aidan O'Connell pass complete short right to Jesper Horsted for 4 yards (tackle by Kyler Gordon),2.390,2.390
4,3:01,2,6,CHI 44,6,30,Aidan O'Connell pass complete short middle to Zamir White for 9 yards (tackle by Tremaine Edmunds and Kyler Gordon),2.390,3.250
4,2:36,1,10,CHI 35,6,30,Aidan O'Connell pass complete short middle to Zamir White for 15 yards (tackle by Tremaine Edmunds),3.250,4.240
4,2:10,1,10,CHI 20,6,30,Aidan O'Connell pass complete short left to Zamir White for 2 yards (tackle by Tyrique Stevenson),4.240,3.960
4,2:00,2,8,CHI 18,6,30,Aidan O'Connell pass complete short left to Tre Tucker for 4 yards (tackle by Tyrique Stevenson),3.960,3.890
4,1:36,3,4,CHI 14,6,30,Aidan O'Connell pass complete short middle to Hunter Renfrow for 5 yards (tackle by Kyler Gordon),3.890,5.140
4,1:14,1,9,CHI 9,12,30,"Aidan O'Connell pass complete short right to Jakobi Meyers for 9 yards, touchdown",5.140,7.000
4,1:10,,,CHI 2,12,30,Two Point Attempt: Aidan O'Connell pass incomplete intended for,1.000,-1.000
4,1:10,,,,,,Timeout #1 by Chicago Bears,,
4,1:10,,,LVR 35,12,30,"Daniel Carlson kicks off 22 yards, returned by Cole Kmet for no gain",0.000,1.800
4,1:06,1,10,CHI 43,12,30,Nathan Peterman kneels for -2 yards,1.800,0.980
4,0:34,2,12,CHI 41,12,30,Nathan Peterman kneels for -2 yards,0.980,0.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
