Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
1,9:28,1,10,DET 20,0,7,Jahvid Best up the middle for 2 yards (tackle by Anthony Spencer),0.280,0.000
1,8:51,2,8,DET 22,0,7,Matthew Stafford pass incomplete short right intended for Calvin Johnson (defended by Sean Lee),0.000,-0.690
1,8:47,3,8,DET 22,0,7,Matthew Stafford pass complete short right to Jahvid Best for -1 yards (tackle by DeMarcus Ware),-0.690,-1.960
1,8:05,4,9,DET 21,0,7,"Ryan Donahue punts 43 yards, returned by Dwayne Harris for 13 yards (tackle by Erik Coleman)",-1.960,-2.190
1,7:59,1,10,DAL 49,0,7,Felix Jones up the middle for 5 yards (tackle by Stephen Tulloch),2.190,2.320
1,7:26,2,5,DET 46,0,7,Felix Jones left end for 3 yards (tackle by Lawrence Jackson),2.320,2.010
1,6:44,3,2,DET 43,0,7,Tony Romo pass complete short left to Dez Bryant for 6 yards (tackle by Stephen Tulloch),2.010,3.120
1,6:12,1,10,DET 37,0,7,Tony Romo pass incomplete short right intended for Tashard Choice,3.120,2.570
1,6:06,2,10,DET 37,0,7,Tony Romo pass incomplete short left intended for Martellus Bennett,2.570,1.880
1,6:02,3,10,DET 37,0,7,Tony Romo pass complete short left to Laurent Robinson for 13 yards (tackle by Louis Delmas),1.880,3.970
1,5:25,1,10,DET 24,0,7,Tony Romo pass complete short left to John Phillips for 4 yards (tackle by Louis Delmas),3.970,3.970
1,4:37,2,6,DET 20,0,7,Tony Romo pass complete short right to Laurent Robinson for 10 yards (tackle by Chris Houston),3.970,4.910
1,3:54,1,10,DET 10,0,7,Felix Jones left tackle for 5 yards (tackle by DeAndre Levy and Willie Young),4.910,5.150
1,3:18,2,5,DET 5,0,7,Felix Jones up the middle for 1 yard (tackle by Louis Delmas),5.150,4.490
1,2:33,3,4,DET 4,0,7,Tony Romo pass complete short middle to Tashard Choice for 3 yards (tackle by Amari Spievey),4.490,3.550
1,1:47,4,1,DET 1,0,7,Felix Jones right guard for no gain (tackle by Ashlee Palmer),3.550,0.380
1,1:42,1,10,DET 1,0,7,Keiland Williams up the middle for 4 yards (tackle by Sean Lee),-0.380,-0.490
1,1:07,2,6,DET 5,0,7,Keiland Williams up the middle for 2 yards (tackle by Sean Lissemore),-0.490,-0.720
1,0:27,3,4,DET 7,0,7,Matthew Stafford pass complete short right to Nate Burleson for 7 yards,-0.720,-0.280
Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 14,0,7,Matthew Stafford pass complete short right to Brandon Pettigrew for 14 yards (tackle by Gerald Sensabaugh),-0.280,0.810
2,14:30,1,10,DET 28,0,7,Matthew Stafford pass incomplete short left intended for Jahvid Best,0.810,0.260
2,14:24,2,10,DET 28,0,7,Jahvid Best right tackle for no gain (tackle by Sean Lissemore),0.260,-0.430
2,14:24,3,10,DET 28,0,7,"Penalty on Jeff Backus: False Start, 5 yards (no play)",-0.430,-1.090
2,14:24,3,15,DET 23,0,7,"Penalty on Matthew Stafford: Delay of Game, 5 yards (no play)",-1.090,-1.960
2,13:39,3,20,DET 18,0,7,Matthew Stafford pass incomplete,-1.960,-2.240
2,13:34,4,20,DET 18,0,7,"Ryan Donahue punts 43 yards, returned by Dwayne Harris for 9 yards (tackle by Erik Coleman). Penalty on Frank Walker: Offensive Holding, 10 yards",-2.240,-0.870
2,13:23,1,10,DAL 29,0,7,Tony Romo pass complete short left to John Phillips for 2 yards (tackle by Louis Delmas and DeAndre Levy),0.870,0.600
2,12:36,2,8,DAL 31,0,7,Felix Jones up the middle for 19 yards (tackle by Louis Delmas),0.600,2.260
2,11:50,1,10,DET 50,0,7,Tony Romo pass complete deep middle to Laurent Robinson for 44 yards (tackle by Chris Houston),2.260,5.830
2,11:03,1,6,DET 6,0,13,"Tony Romo pass complete short left to Dez Bryant for 6 yards, touchdown",5.830,7.000
2,,,,DET 2,0,14,Dan Bailey kicks extra point good,0.000,0.000
2,,,,DAL 35,0,14,"Dan Bailey kicks off 65 yards, returned by Stefan Logan for 24 yards (tackle by Victor Butler)",0.000,0.540
2,10:50,1,10,DET 24,0,14,Matthew Stafford pass complete short middle to Brandon Pettigrew for 2 yards (tackle by Keith Brooking and Alan Ball),0.540,0.270
2,10:10,2,8,DET 26,0,14,"Matthew Stafford pass complete short middle to Calvin Johnson for 15 yards (tackle by Keith Brooking). Penalty on Dominic Raiola: Offensive Holding, 10 yards (no play)",0.270,-1.220
2,9:38,2,18,DET 16,0,14,Matthew Stafford pass incomplete short right intended for Jahvid Best,-1.220,-2.050
2,9:32,3,18,DET 16,0,14,Matthew Stafford pass incomplete short left intended for Jahvid Best,-2.050,-2.390
2,9:27,4,18,DET 16,0,14,"Ryan Donahue punts 38 yards, returned by Dwayne Harris for 5 yards (tackle by Ashlee Palmer)",-2.390,-2.320
2,9:16,1,10,DET 49,0,14,Tony Romo pass incomplete short left intended for Felix Jones,2.320,1.780
2,9:12,2,10,DET 49,0,14,Tony Romo pass incomplete short right intended for Laurent Robinson,1.780,1.090
2,9:12,3,10,DET 49,0,14,"Penalty on Corey Williams: Encroachment, 5 yards (no play)",1.090,1.750
2,9:08,3,5,DET 44,0,14,Tony Romo pass complete short middle to Jason Witten for 14 yards (tackle by DeAndre Levy and Brandon McDonald),1.750,3.580
2,8:21,1,10,DET 30,0,14,DeMarco Murray right tackle for no gain (tackle by Eric Wright),3.580,3.030
2,7:40,2,10,DET 30,0,14,Tony Romo pass complete short right to DeMarco Murray for -1 yards (tackle by Chris Houston),3.030,2.210
2,7:09,3,11,DET 31,0,14,Tony Romo pass complete short middle to Jason Witten for 8 yards (tackle by DeAndre Levy and Stephen Tulloch),2.210,2.030
2,7:09,4,3,DET 23,0,17,Dan Bailey 41 yard field goal good,2.030,3.000
2,,,,DAL 35,0,17,"Dan Bailey kicks off 60 yards, returned by Stefan Logan for 28 yards (tackle by Victor Butler). Penalty on Phillip Tanner: Illegal Formation, 5 yards",0.000,1.470
2,6:19,1,10,DET 38,0,17,Matthew Stafford pass incomplete short right intended for Jahvid Best,1.470,0.920
2,6:17,2,10,DET 38,0,17,Matthew Stafford pass complete short right to Calvin Johnson for 12 yards (tackle by Gerald Sensabaugh),0.920,2.260
2,5:52,1,10,DAL 50,0,17,Matthew Stafford pass incomplete short middle intended for Nate Burleson,2.260,1.710
2,5:47,2,10,DAL 50,0,17,Matthew Stafford pass complete short right to Calvin Johnson for 6 yards (tackle by Terence Newman),1.710,1.820
2,5:07,3,4,DAL 44,0,17,Matthew Stafford pass complete short right to Jahvid Best for 24 yards (tackle by Gerald Sensabaugh),1.820,4.240
2,4:29,1,10,DAL 20,0,17,"Matthew Stafford pass incomplete short left intended for Tony Scheffler. Penalty on Alan Ball: Defensive Holding, 5 yards (no play)",4.240,4.580
2,4:29,1,10,DAL 15,0,17,Matthew Stafford pass incomplete short left intended for Tony Scheffler,4.580,3.950
2,4:23,2,10,DAL 15,0,17,Matthew Stafford pass incomplete,3.950,3.100
2,4:18,3,10,DAL 15,0,17,Matthew Stafford pass incomplete short middle intended for Brandon Pettigrew (defended by Frank Walker),3.100,2.440
2,4:13,4,10,DAL 15,3,17,Jason Hanson 33 yard field goal good,2.440,3.000
2,,,,DET 35,3,17,"Jason Hanson kicks off 70 yards, returned by Dwayne Harris for 32 yards (tackle by Amari Spievey)",0.000,0.740
2,4:03,1,10,DAL 27,3,17,Felix Jones right tackle for 1 yard (tackle by Stephen Tulloch),0.740,0.330
2,3:24,2,9,DAL 28,3,17,Tony Romo pass complete short right to Felix Jones for -5 yards (tackle by Ndamukong Suh),0.330,-1.020
2,2:40,3,14,DAL 23,3,17,Tony Romo pass complete short middle to Tashard Choice for 9 yards (tackle by Cliff Avril),-1.020,-1.240
2,2:29,,,,3,17,Timeout #1 by Detroit Lions,0.000,-1.240
2,2:29,4,5,DAL 32,3,17,"Mat McBriar punts 68 yards, touchback",-1.240,-0.280
2,2:21,1,10,DET 20,3,17,Matthew Stafford pass complete short right to Calvin Johnson for 20 yards (tackle by Terence Newman),0.280,1.600
2,2:00,1,10,DET 40,3,17,Matthew Stafford pass incomplete short right intended for Brandon Pettigrew,1.600,1.050
2,1:53,2,10,DET 40,3,17,Matthew Stafford pass incomplete short right intended for Brandon Pettigrew,1.050,0.370
2,1:47,3,10,DET 40,3,17,Matthew Stafford pass complete short right to Brandon Pettigrew for 4 yards (tackle by Abram Elam and DeMarcus Ware),0.370,-0.460
2,1:37,,,,3,17,Timeout #1 by Dallas Cowboys,0.000,-0.460
2,1:37,4,6,DET 44,3,17,"Ryan Donahue punts 56 yards, touchback",-0.460,-0.280
2,1:28,1,10,DAL 20,3,17,Felix Jones up the middle for 7 yards (tackle by Louis Delmas),0.280,0.680
2,1:05,2,3,DAL 27,3,17,Tony Romo pass complete short right to Felix Jones for 5 yards (tackle by Corey Williams and Brandon McDonald),0.680,1.070
2,0:55,,,,3,17,Timeout #2 by Dallas Cowboys,0.000,1.070
2,0:55,1,10,DAL 32,3,17,Tony Romo pass complete short right to Laurent Robinson for 18 yards (tackle by Stephen Tulloch),1.070,2.260
2,0:36,1,10,DET 50,3,17,Tony Romo pass complete short right to Jason Witten for 10 yards (tackle by DeAndre Levy),2.260,2.920
2,0:31,1,10,DET 40,3,17,Tony Romo pass complete short middle to Tashard Choice for 9 yards (tackle by DeAndre Levy and Stephen Tulloch),2.920,3.590
2,0:31,2,1,DET 31,3,17,Tony Romo spiked the ball,3.590,2.870
2,0:16,3,1,DET 31,3,17,Tashard Choice right tackle for 14 yards (tackle by Stephen Tulloch),2.870,4.440
2,0:01,,,,3,17,Timeout #3 by Dallas Cowboys,0.000,4.440
2,0:01,1,10,DET 17,3,20,Dan Bailey 35 yard field goal good,4.440,3.000
Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,3,20,"Jason Hanson kicks off 49 yards, returned by Sean Lissemore for 38 yards (tackle by John Wendling)",0.000,2.520
3,14:52,1,10,DET 46,3,20,Tony Romo pass complete short right to Laurent Robinson for 16 yards (tackle by Chris Houston),2.520,3.580
3,14:20,1,10,DET 30,3,20,Felix Jones up the middle for 3 yards (tackle by Bobby Carpenter),3.580,3.440
3,13:38,2,7,DET 27,3,20,Tony Romo pass complete short right to Laurent Robinson for 9 yards (tackle by Chris Houston),3.440,4.370
3,13:05,1,10,DET 18,3,20,Felix Jones left tackle for 4 yards (tackle by Corey Williams),4.370,4.430
3,12:35,2,6,DET 14,3,20,Tony Romo pass complete short right to Kevin Ogletree for 13 yards (tackle by Amari Spievey and Louis Delmas),4.430,6.970
,,,,,,,"DAL challenged the runner broke the plane ruling, and the play was upheld.",,
3,12:27,1,1,DET 1,3,26,"Tony Romo pass complete short right to Jason Witten for 1 yard, touchdown",6.970,7.000
3,,,,DET 2,3,27,Dan Bailey kicks extra point good,0.000,0.000
3,,,,DAL 35,3,27,"Dan Bailey kicks off 65 yards, touchback",0.000,0.280
3,12:23,1,10,DET 20,3,27,Jahvid Best left guard for 2 yards (tackle by Keith Brooking),0.280,0.000
3,11:46,2,8,DET 22,3,27,Matthew Stafford pass complete short right to Nate Burleson for 9 yards (tackle by Gerald Sensabaugh),0.000,1.000
3,11:17,1,10,DET 31,3,27,Jahvid Best right end for 5 yards (tackle by Barry Church and Sean Lee),1.000,1.140
3,10:51,2,5,DET 36,3,27,Matthew Stafford pass incomplete,1.140,0.430
3,10:43,3,5,DET 36,3,27,Matthew Stafford pass incomplete short middle intended for Calvin Johnson (defended by Mike Jenkins),0.430,-0.980
3,10:38,4,5,DET 36,3,27,Ryan Donahue punts 37 yards,-0.980,-0.740
3,10:30,1,10,DAL 27,9,27,"Tony Romo pass incomplete short right intended for Dez Bryant is intercepted by Bobby Carpenter at DAL-34 and returned for 34 yards, touchdown",0.740,-7.000
3,,,,DAL 2,10,27,Jason Hanson kicks extra point good,0.000,0.000
3,,,,DET 35,10,27,"Jason Hanson kicks off 68 yards, returned by Dwayne Harris for 24 yards (tackle by Alphonso Smith)",0.000,0.340
3,10:03,1,10,DAL 21,10,27,Tashard Choice up the middle for 7 yards (tackle by John Wendling),0.340,0.750
3,9:24,2,3,DAL 28,10,27,Tashard Choice left guard for 6 yards (tackle by Lawrence Jackson),0.750,1.200
3,8:39,1,10,DAL 34,10,27,DeMarco Murray up the middle for 4 yards (tackle by Andre Fluellen),1.200,1.200
3,7:57,2,6,DAL 38,10,27,Tony Romo pass complete short left to Laurent Robinson for 6 yards (tackle by Eric Wright),1.200,1.860
3,7:13,1,10,DAL 44,10,27,DeMarco Murray right guard for 7 yards (tackle by Kyle Vanden Bosch),1.860,2.260
3,6:31,2,3,DET 49,10,27,DeMarco Murray right tackle for 1 yard (tackle by Stephen Tulloch),2.260,1.690
3,5:48,3,2,DET 48,16,27,"Tony Romo pass incomplete short right intended for Laurent Robinson is intercepted by Chris Houston at DET-44 and returned for 56 yards, touchdown",1.690,-7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
3,,,,DAL 2,17,27,Jason Hanson kicks extra point good,0.000,0.000
3,,,,DET 35,17,27,"Jason Hanson kicks off 74 yards, touchback",0.000,0.280
3,5:34,1,10,DAL 20,17,27,"Penalty on Corey Williams: Defensive Offside, 5 yards (no play)",0.280,1.010
3,5:20,1,5,DAL 25,17,27,Felix Jones right tackle for 1 yard (tackle by Bobby Carpenter),1.010,0.540
3,4:42,2,4,DAL 26,17,27,Felix Jones left guard for 6 yards (tackle by DeAndre Levy and Ndamukong Suh),0.540,1.070
3,3:54,1,10,DAL 32,17,27,Tony Romo pass incomplete deep left intended for Dez Bryant,1.070,0.530
,,,,,,,"DET challenged the pass completion ruling, and the original play was overturned.",,
3,3:49,2,10,DAL 32,17,27,Tony Romo pass complete short middle to Martellus Bennett for 7 yards (tackle by Stephen Tulloch),0.530,0.760
3,3:07,3,3,DAL 39,17,27,"Tony Romo pass incomplete deep left intended for Laurent Robinson. Penalty on Ndamukong Suh: Roughing the Passer, 15 yards (no play)",0.760,2.520
3,3:02,1,10,DET 46,17,27,Tony Romo pass complete deep middle to Jason Witten for 37 yards (tackle by Bobby Carpenter),2.520,5.140
3,2:11,1,9,DET 9,17,27,Tashard Choice left tackle for 2 yards (tackle by Bobby Carpenter and Corey Williams),5.140,4.760
3,1:31,2,7,DET 7,17,27,Tony Romo pass complete short right to John Phillips for 2 yards (tackle by Stephen Tulloch),4.760,4.260
3,0:47,3,5,DET 5,17,27,Tony Romo pass incomplete short left intended for Kevin Ogletree,4.260,3.010
3,0:41,4,5,DET 5,17,30,Dan Bailey 23 yard field goal good,3.010,3.000
3,,,,DAL 35,17,30,"Dan Bailey kicks off 65 yards, touchback",0.000,0.280
3,0:37,1,10,DET 20,17,30,Matthew Stafford pass complete short middle to Brandon Pettigrew for 22 yards (tackle by Barry Church),0.280,1.730
3,0:05,1,10,DET 42,17,30,Jahvid Best up the middle for 3 yards (tackle by Anthony Spencer),1.730,1.590
Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,DET 45,17,30,Matthew Stafford pass complete short left to Titus Young for 13 yards (tackle by Mike Jenkins),1.590,2.790
4,14:24,1,10,DAL 42,17,30,Matthew Stafford pass complete short middle to Titus Young for 19 yards (tackle by Barry Church),2.790,4.040
4,13:47,1,10,DAL 23,23,30,"Matthew Stafford pass complete deep left to Calvin Johnson for 23 yards, touchdown",4.040,7.000
4,,,,DAL 2,24,30,Jason Hanson kicks extra point good,0.000,0.000
4,,,,DET 35,24,30,"Jason Hanson kicks off 68 yards, touchback",0.000,0.280
4,13:37,1,10,DAL 20,24,30,Tony Romo pass complete short right to Felix Jones for 1 yard (tackle by Chris Houston and Cliff Avril),0.280,-0.130
4,12:52,2,9,DAL 21,24,30,Felix Jones right tackle for 5 yards (tackle by Stephen Tulloch),-0.130,-0.160
4,12:08,3,4,DAL 26,24,30,Tony Romo pass incomplete deep middle intended for Jason Witten,-0.160,-1.630
4,12:03,4,4,DAL 26,24,30,"Mat McBriar punts 41 yards, fair catch by Stefan Logan",-1.630,-1.140
4,11:55,1,10,DET 33,24,30,"Penalty on Anthony Spencer: Neutral Zone Infraction, 5 yards (no play)",1.140,1.870
4,11:55,1,5,DET 38,24,30,Matthew Stafford pass incomplete deep left intended for Calvin Johnson,1.870,1.270
4,11:49,2,5,DET 38,24,30,Jahvid Best left guard for 4 yards (tackle by Marcus R. Spears),1.270,1.090
4,11:09,3,1,DET 42,24,30,Matthew Stafford pass complete short right to Calvin Johnson for 9 yards (tackle by Terence Newman),1.090,2.320
4,10:41,1,10,DAL 49,24,30,Jahvid Best right tackle for -1 yards (tackle by Anthony Spencer),2.320,1.650
4,10:06,2,11,,24,30,Matthew Stafford pass incomplete deep left intended for Calvin Johnson,1.650,0.960
4,10:00,3,11,,24,30,Matthew Stafford pass incomplete short left intended for Nate Burleson. Penalty on Jeff Backus: Offensive Holding (Declined),0.960,-0.060
4,9:53,4,11,,24,30,"Ryan Donahue punts 45 yards. Penalty on Alan Ball: Offensive Holding, 2 yards",-0.060,0.380
4,9:39,1,10,DAL 3,24,30,Felix Jones right tackle for 1 yard (tackle by Bobby Carpenter and Corey Williams),-0.380,-0.710
4,8:58,2,9,DAL 4,24,30,Tashard Choice right tackle for 1 yard (tackle by Stephen Tulloch),-0.710,-1.190
4,8:13,3,8,DAL 5,24,30,Tony Romo pass complete short right to Tashard Choice for 2 yards (tackle by Cliff Avril),-1.190,-2.490
4,7:49,4,6,DAL 7,24,30,"Mat McBriar punts 52 yards, returned by Stefan Logan for 12 yards (tackle by Frank Walker)",-2.490,-2.460
4,7:36,1,10,DAL 47,24,30,Matthew Stafford pass complete short middle to Brandon Pettigrew for 9 yards (tackle by Sean Lee),2.460,3.130
4,6:59,2,1,DAL 38,24,30,Matthew Stafford pass incomplete short left intended for Jahvid Best,3.130,2.410
4,6:54,3,1,DAL 38,24,30,Keiland Williams left tackle for 8 yards (tackle by Frank Walker),2.410,3.580
4,6:15,1,10,DAL 30,24,30,"Keiland Williams right tackle for 6 yards (tackle by Barry Church). Penalty on Stephen Peterman: Offensive Holding, 10 yards (no play)",3.580,2.920
4,6:15,1,20,DAL 40,24,30,"Penalty on Matthew Stafford: Delay of Game, 5 yards (no play)",2.920,2.590
4,5:18,1,25,DAL 45,24,30,Matthew Stafford pass complete short right to Titus Young for 9 yards (tackle by Terence Newman),2.590,2.220
4,4:48,2,16,DAL 36,24,30,"Matthew Stafford pass complete short right to Brandon Pettigrew for 13 yards (tackle by Barry Church). Penalty on Nate Burleson: Illegal Block Above the Waist, 10 yards",2.220,2.630
4,4:32,2,13,DAL 33,24,30,Matthew Stafford pass incomplete deep right intended for Titus Young. Penalty on Titus Young: Offensive Pass Interference (Declined),2.630,1.950
4,4:31,3,13,DAL 33,24,30,Matthew Stafford pass incomplete short middle intended for Jahvid Best,1.950,1.150
4,4:27,4,13,DAL 33,27,30,Jason Hanson 51 yard field goal good,1.150,3.000
4,,,,DET 35,27,30,"Jason Hanson kicks off 73 yards, touchback",0.000,0.280
4,4:22,1,10,DAL 20,27,30,Tony Romo pass incomplete deep middle intended for Jason Witten is intercepted by Stephen Tulloch at DAL-40. Penalty on Kyle Kosier: Offensive Holding (Declined),0.280,-2.920
4,4:13,1,10,DAL 40,27,30,Matthew Stafford pass complete short left to Calvin Johnson for 9 yards (tackle by Barry Church),2.920,3.590
4,3:39,2,1,DAL 31,27,30,Matthew Stafford pass complete short middle to Calvin Johnson for 15 yards (tackle by Terence Newman and Danny McCray),3.590,4.510
4,2:59,1,10,DAL 16,27,30,Jahvid Best right tackle for 7 yards (tackle by Anthony Spencer and Danny McCray),4.510,5.160
4,2:16,2,3,DAL 9,27,30,Jahvid Best left tackle for 5 yards (tackle by Sean Lee),5.160,6.280
4,2:00,1,4,DAL 4,27,30,Keiland Williams up the middle for no gain,6.280,5.340
4,1:53,,,,27,30,Timeout #2 by Dallas Cowboys,0.000,5.340
4,1:53,2,4,DAL 4,27,30,Jahvid Best up the middle for 1 yard (tackle by DeMarcus Ware and Kenyon Coleman),5.340,4.720
4,1:48,,,,27,30,Timeout #3 by Dallas Cowboys,0.000,4.720
4,1:48,3,3,DAL 3,27,30,"Matthew Stafford pass incomplete short middle intended for Brandon Pettigrew (defended by Frank Walker). Penalty on Frank Walker: Defensive Holding, 1 yards (no play)",4.720,6.740
4,1:44,1,2,DAL 2,33,30,"Matthew Stafford pass complete short right to Calvin Johnson for 2 yards, touchdown. Penalty on DAL: Defensive 12 On-field (Declined)",6.740,7.000
4,,,,,33,30,--,0.000,0.000
4,,,,DAL 2,34,30,Jason Hanson kicks extra point good,0.000,0.000
4,,,,DET 35,34,30,"Jason Hanson kicks off 65 yards, touchback",0.000,0.280
4,1:39,1,10,DAL 20,34,30,Tony Romo pass complete short middle to Jason Witten for 9 yards (tackle by DeAndre Levy),0.280,0.950
4,1:21,2,1,DAL 29,34,30,Tony Romo pass complete short middle to Jason Witten for 9 yards (tackle by DeAndre Levy),0.950,1.470
4,1:06,1,10,DAL 38,34,30,Tony Romo pass complete short right to Jason Witten for 6 yards,1.470,1.730
4,1:01,2,4,DAL 44,34,30,Tony Romo pass complete short left to Felix Jones for 11 yards (tackle by Brandon McDonald),1.730,2.590
4,0:39,1,10,DET 45,34,30,Tony Romo pass incomplete short left intended for Felix Jones,2.590,2.040
4,0:35,2,10,DET 45,34,30,Tony Romo sacked by Willie Young for -10 yards,2.040,0.040
4,0:35,3,20,DAL 45,34,30,Tony Romo pass incomplete short right intended for Laurent Robinson,0.040,-0.390
4,0:11,4,20,DAL 45,34,30,Tony Romo pass complete short left to Felix Jones for 7 yards,-0.390,-2.130
4,0:04,1,10,DET 48,34,30,Matthew Stafford kneels for -1 yards,2.130,1.450
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
