Unnamed: 0,DET,DAL
First Downs,18,25
Rush-Yds-TDs,17-63-0,27-113-0
Cmp-Att-Yd-TD-INT,21-43-240-2-1,34-47-331-3-3
Sacked-Yards,0-0,1-10
Net Pass Yards,240,321
Total Yards,303,434
Fumbles-Lost,0-0,0-0
Turnovers,1,3
Penalties-Yards,10-75,7-33
Third Down Conv.,4-13,5-13
Fourth Down Conv.,0-0,0-2
Time of Possession,23:21,36:39
