Unnamed: 0,PHI,BUF
First Downs,21,16
Rush-Yds-TDs,41-218-3,20-98-0
Cmp-Att-Yd-TD-INT,17-24-172-1-0,16-34-169-2-0
Sacked-Yards,3-19,4-14
Net Pass Yards,153,155
Total Yards,371,253
Fumbles-Lost,2-1,3-1
Turnovers,1,1
Penalties-Yards,4-44,8-57
Third Down Conv.,8-15,6-15
Fourth Down Conv.,0-2,0-2
Time of Possession,35:57,24:03
