Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss, Bills to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,BUF 25,0,0,Frank Gore right tackle for no gain (tackle by Brandon Graham and T.J. Edwards),0.610,0.060
1,14:20,2,10,BUF 25,0,0,Frank Gore up the middle for 4 yards (tackle by Fletcher Cox),0.060,-0.100
1,13:40,3,6,BUF 29,0,0,"Josh Allen sacked by Fletcher Cox for -6 yards. Josh Allen fumbles (forced by Fletcher Cox), recovered by Josh Allen at BUF-23",-0.100,-1.830
1,13:04,4,12,BUF 23,0,0,Corey Bojorquez punts 58 yards downed by Senorise Perry,-1.830,-0.150
1,12:51,1,10,PHI 19,0,0,Jordan Howard up the middle for 2 yards (tackle by Micah Hyde and Matt Milano),0.150,-0.060
1,12:15,2,8,PHI 21,0,0,Jordan Howard up the middle for 6 yards (tackle by Tremaine Edmunds and Ed Oliver),-0.060,-0.030
1,11:53,3,2,PHI 27,0,0,Carson Wentz pass complete short right to Nelson Agholor for 7 yards (tackle by Dean Marlowe),-0.030,1.200
1,11:26,1,10,PHI 34,0,0,Jordan Howard up the middle for 5 yards (tackle by Jordan Poyer),1.200,1.330
1,10:55,2,5,PHI 39,0,0,Jordan Howard right tackle for 1 yard (tackle by Tremaine Edmunds),1.330,0.760
1,10:22,3,4,PHI 40,0,0,Carson Wentz pass incomplete short left intended for Alshon Jeffery (defended by Levi Wallace),0.760,-0.720
1,10:18,4,4,PHI 40,0,0,"Cameron Johnston punts 60 yards, touchback.",-0.720,-0.280
1,10:09,1,10,BUF 20,0,0,Josh Allen pass complete short middle to Lee Smith for 6 yards (tackle by Nathan Gerry and T.J. Edwards),0.280,0.540
1,9:37,2,4,BUF 26,0,0,Frank Gore up the middle for 3 yards (tackle by Kamu Grugier-Hill and T.J. Edwards),0.540,0.230
1,8:56,3,1,BUF 29,0,0,Frank Gore right guard for no gain (tackle by Fletcher Cox),0.230,-1.440
1,8:24,4,1,BUF 29,0,0,Corey Bojorquez punts 44 yards downed by Kevin Johnson,-1.440,-0.740
