Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
DeAndre Hopkins,HOU,12,9,55,0,7,24,2.7,31,3.4,6.9,1,9.0,1,8.3,1,49.0
Darren Fells,HOU,7,6,69,0,4,28,4.7,41,6.8,4.7,0,,0,0.0,0,107.7
Will Fuller,HOU,9,5,44,0,2,7,1.4,37,7.4,17.6,0,,3,33.3,0,68.7
Keke Coutee,HOU,6,4,39,0,2,9,2.3,30,7.5,9.5,0,,0,0.0,1,45.1
Jordan Akins,HOU,3,3,39,0,2,29,9.7,10,3.3,9.7,1,3.0,0,0.0,0,118.7
Duke Johnson,HOU,4,2,20,1,2,8,4.0,12,6.0,2.5,0,,0,0.0,0,104.2
Carlos Hyde,HOU,1,1,14,0,1,-1,-1.0,15,15.0,-1.0,0,,0,0.0,0,118.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tyreek Hill,KAN,10,5,80,2,3,71,14.2,9,1.8,17.1,2,2.5,0,0.0,0,116.7
Mecole Hardman,KAN,4,4,45,0,2,6,1.5,39,9.8,1.5,0,,0,0.0,0,113.5
Travis Kelce,KAN,6,4,58,0,3,27,6.8,31,7.8,5.7,2,2.0,2,33.3,0,97.9
LeSean McCoy,KAN,2,2,0,0,0,-9,-4.5,9,4.5,-4.5,0,,0,0.0,0,79.2
Byron Pringle,KAN,4,2,24,0,1,11,5.5,13,6.5,12.8,0,,1,25.0,1,29.2
Darrel Williams,KAN,2,1,52,0,1,6,6.0,46,46.0,14.5,0,,0,0.0,0,95.8
Damien Williams,KAN,1,1,14,1,1,-4,-4.0,18,18.0,-4.0,0,,0,0.0,0,158.3
De'Anthony Thomas,KAN,1,0,0,0,0,0,,0,,-4.0,0,,1,100.0,0,39.6
Demarcus Robinson,KAN,4,0,0,0,,0,,0,,18.5,0,,0,0.0,0,39.6
Blake Bell,KAN,1,0,0,0,,0,,0,,2.0,0,,0,0.0,0,39.6
