Quarter,Time,Tm,Detail,HOU,KAN
1.0,11:42,Chiefs,Tyreek Hill 46 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
,10:19,Chiefs,Harrison Butker 41 yard field goal,0,10
,5:46,Texans,Ka'imi Fairbairn 44 yard field goal,3,10
,1:28,Chiefs,Damien Williams 14 yard pass from Patrick Mahomes (Harrison Butker kick),3,17
2.0,12:15,Texans,Duke Johnson 11 yard pass from Deshaun Watson (Ka'imi Fairbairn kick failed),9,17
,3:06,Texans,Carlos Hyde 2 yard rush (Ka'imi Fairbairn kick),16,17
,0:16,Texans,Deshaun Watson 3 yard rush (Ka'imi Fairbairn kick),23,17
3.0,6:30,Chiefs,Tyreek Hill 6 yard pass from Patrick Mahomes (Harrison Butker kick),23,24
4.0,6:17,Texans,Deshaun Watson 1 yard rush (DeAndre Hopkins pass from Deshaun Watson),31,24
