Quarter,Time,Down,ToGo,Location,CIN,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NOR 20,0,0,Mark Ingram right guard for 2 yards (tackle by Emmanuel Lamur),0.280,0.000
1,14:31,2,8,NOR 22,0,0,Mark Ingram left tackle for 3 yards (tackle by Emmanuel Lamur),0.000,0.000
1,13:58,2,8,NOR 22,0,0,Timeout #1 by New Orleans Saints,0.000,-0.300
1,13:58,3,5,NOR 25,0,0,Drew Brees pass complete deep left to Kenny Stills for 16 yards (tackle by Leon Hall),-0.300,1.660
1,13:40,1,10,NOR 41,0,0,Mark Ingram left tackle for 3 yards (tackle by Reggie Nelson and Adam Jones),1.660,1.530
1,13:14,2,7,NOR 44,0,0,Mark Ingram right end for 5 yards (tackle by Leon Hall),1.530,1.490
1,12:31,3,2,NOR 49,0,0,Drew Brees pass complete short right to Kenny Stills for 2 yards (tackle by Leon Hall),1.490,2.320
1,11:58,1,10,CIN 49,0,0,Drew Brees pass incomplete deep middle intended for Brandin Cooks,2.320,1.780
1,11:52,2,10,CIN 49,0,0,"Drew Brees pass incomplete short right intended for Jimmy Graham (defended by George Iloka). Penalty on George Iloka: Unnecessary Roughness, 15 yards (no play)",1.780,3.310
1,11:48,1,10,CIN 34,0,0,Drew Brees pass incomplete deep middle intended for Josh Hill,3.310,2.770
1,11:27,2,10,CIN 34,0,0,Mark Ingram left guard for 2 yards (tackle by Brandon Thompson),2.770,2.350
1,11:06,3,8,CIN 32,0,0,Drew Brees pass complete short middle to Jimmy Graham for 13 yards (tackle by Reggie Nelson),2.350,4.310
1,10:24,1,10,CIN 19,0,0,Drew Brees pass complete short middle to Mark Ingram for 4 yards (tackle by Vincent Rey),4.310,4.350
1,9:49,2,6,CIN 15,0,0,Drew Brees pass complete short left to Erik Lorig for 2 yards (tackle by Vincent Rey),4.350,3.960
1,9:02,3,4,CIN 13,0,0,Drew Brees pass incomplete short left intended for Travaris Cadet (defended by Robert Geathers). Penalty on Terron Armstead: Illegal Motion (Declined),3.960,2.640
