Quarter,Time,Tm,Detail,CIN,NOR
1.0,8:53,Saints,Shayne Graham 31 yard field goal,0,3
,3:14,Bengals,Jermaine Gresham 12 yard pass from Andy Dalton (Mike Nugent kick),7,3
2.0,2:52,Bengals,Mike Nugent 22 yard field goal,10,3
,0:00,Bengals,Mike Nugent 42 yard field goal,13,3
3.0,6:03,Bengals,Jermaine Gresham 1 yard pass from Andy Dalton (Mike Nugent kick),20,3
4.0,14:56,Saints,Kenny Stills 9 yard pass from Drew Brees (Shayne Graham kick),20,10
,11:29,Bengals,A.J. Green 24 yard pass from Andy Dalton (Mike Nugent kick),27,10
