Unnamed: 0,IND,JAX
First Downs,27,17
Rush-Yds-TDs,22-88-1,23-91-0
Cmp-Att-Yd-TD-INT,36-46-363-1-2,19-20-173-3-0
Sacked-Yards,1-6,4-23
Net Pass Yards,357,150
Total Yards,445,241
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,5-80,6-61
Third Down Conv.,4-12,5-10
Fourth Down Conv.,1-3,0-0
Time of Possession,33:23,26:37
