Unnamed: 0,NOR,SFO
First Downs,26,17
Rush-Yds-TDs,14-37-0,22-143-1
Cmp-Att-Yd-TD-INT,40-63-462-4-2,24-42-299-3-0
Sacked-Yards,3-27,4-35
Net Pass Yards,435,264
Total Yards,472,407
Fumbles-Lost,3-3,3-1
Turnovers,5,1
Penalties-Yards,0-0,3-33
Third Down Conv.,5-14,4-15
Fourth Down Conv.,0-0,0-0
Time of Possession,31:20,28:40
