Unnamed: 0,WAS,DEN
First Downs,28,11
Rush-Yds-TDs,26-125-0,28-165-2
Cmp-Att-Yd-TD-INT,30-53-322-2-0,10-26-92-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,322,92
Total Yards,447,257
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,10-67,6-43
Third Down Conv.,6-15,4-14
Fourth Down Conv.,0-0,1-1
Time of Possession,33:49,26:11
