Quarter,Time,Down,ToGo,Location,WAS,DEN,Detail,EPB,EPA
1,6:23,1,10,DEN 33,0,7,Mark Brunell pass complete to David Patten for 12 yards (tackle by John Engelberger),3.380,4.170
1,5:58,1,10,DEN 21,0,7,Clinton Portis up the middle for 6 yards (tackle by John Lynch),4.170,4.550
1,5:18,2,4,DEN 15,0,7,Clinton Portis left end for 13 yards (tackle by Nick Ferguson),4.550,6.740
1,4:34,1,2,DEN 2,0,7,Clinton Portis left tackle for no gain (tackle by Ian Gold and Al Wilson),6.740,5.720
1,3:55,2,2,DEN 2,6,7,"Mark Brunell pass complete to Mike Sellers for 2 yards, touchdown",5.720,7.000
1,,,,DEN 2,7,7,Nick Novak kicks extra point good,0.000,0.000
1,,,,WAS 30,7,7,"Nick Novak kicks off 66 yards, returned by D.J. Williams for 18 yards (tackle by Chris Clemons)",0.000,0.410
1,3:39,1,10,DEN 22,7,7,Mike Anderson left guard for no gain (tackle by Cornelius Griffin),0.410,-0.130
1,3:03,2,10,DEN 22,7,7,Jake Plummer pass complete to Mike Anderson for 8 yards (tackle by Carlos Rogers),-0.130,0.230
1,2:19,3,2,DEN 30,7,7,"Jake Plummer up the middle for 3 yards (tackle by Marcus Washington). Penalty on Tom Nalen: Offensive Holding, 10 yards (no play)",0.230,-1.090
1,1:51,3,12,DEN 20,7,7,Jake Plummer pass complete to Rod Smith for 13 yards (tackle by Shawn Springs),-1.090,1.140
1,1:15,1,10,DEN 33,7,7,Mike Anderson right guard for 9 yards (tackle by Sean Taylor),1.140,1.810
1,0:35,2,1,DEN 42,7,7,Mike Anderson left tackle for 6 yards (tackle by Lemar Marshall and Warrick Holdman),1.810,2.130
Quarter,Time,Down,ToGo,Location,WAS,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 48,7,7,Jake Plummer pass incomplete intended for Kyle Johnson,2.130,1.580
2,14:56,2,10,DEN 48,7,7,Tatum Bell up the middle for 12 yards (tackle by Ryan Clark),1.580,2.920
2,14:18,1,10,WAS 40,7,7,Jake Plummer pass complete to Jeb Putzier for 31 yards (tackle by Lemar Marshall),2.920,5.140
2,13:33,1,9,WAS 9,7,7,Tatum Bell right tackle for 1 yard (tackle by Sean Taylor),5.140,4.570
2,12:50,2,8,WAS 8,7,7,Tatum Bell right tackle for 3 yards (tackle by Lemar Marshall),4.570,4.260
2,12:12,3,5,WAS 5,7,13,"Jake Plummer pass complete to Ashley Lelie for 5 yards, touchdown",4.260,7.000
2,,,,WAS 2,7,14,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,7,14,"Todd Sauerbrun kicks off 66 yards, returned by James Thrash for 31 yards (tackle by Charlie Adams)",0.000,1.270
2,12:01,1,10,WAS 35,7,14,Mark Brunell pass complete to Clinton Portis for 11 yards (tackle by Ian Gold),1.270,1.990
2,11:20,1,10,WAS 46,7,14,Clinton Portis up the middle for 4 yards (tackle by Demetrin Veal),1.990,1.990
2,10:40,2,6,DEN 50,7,14,"Penalty on Jon Jansen: False Start, 5 yards (no play)",1.990,1.320
2,10:20,2,11,WAS 45,7,14,Mark Brunell pass incomplete intended for Chris Cooley (defended by Nick Ferguson),1.320,0.630
2,10:12,3,11,WAS 45,7,14,Mark Brunell pass incomplete intended for James Thrash,0.630,-0.390
2,10:06,4,11,WAS 45,7,14,"Derrick Frost punts 38 yards, fair catch by D.J. Williams",-0.390,0.060
2,9:57,1,10,DEN 17,7,14,Jake Plummer pass incomplete intended for Jeb Putzier,-0.060,-0.580
2,9:50,2,10,DEN 17,7,14,Jake Plummer pass complete to Mike Anderson for 8 yards (tackle by Warrick Holdman),-0.580,-0.240
2,9:05,3,2,DEN 25,7,14,Jake Plummer pass incomplete intended for Stephen Alexander,-0.240,-1.700
2,8:59,4,2,DEN 25,7,14,"Todd Sauerbrun punts 55 yards, returned by Santana Moss for 3 yards (tackle by Nick Ferguson)",-1.700,-0.480
2,8:46,1,10,WAS 23,7,14,Clinton Portis left tackle for 2 yards (tackle by Al Wilson and D.J. Williams),0.480,0.200
2,8:06,2,8,WAS 25,7,14,Mark Brunell pass incomplete,0.200,-0.490
2,7:59,3,8,WAS 25,7,14,Mark Brunell up the middle for 14 yards (tackle by John Lynch),-0.490,1.530
2,7:13,1,10,WAS 39,7,14,Mark Brunell pass complete to Santana Moss for 17 yards (tackle by D.J. Williams),1.530,2.650
2,6:50,1,10,DEN 44,7,14,Mark Brunell pass complete to Ladell Betts for 6 yards (tackle by D.J. Williams and Ian Gold),2.650,2.920
2,6:09,2,4,DEN 38,7,14,Ladell Betts up the middle for no gain (tackle by D.J. Williams),2.920,2.210
2,5:28,3,4,DEN 38,7,14,Mark Brunell pass incomplete intended for Chris Cooley,2.210,0.720
2,5:23,4,4,DEN 38,7,14,"Derrick Frost punts 23 yards, fair catch by D.J. Williams",0.720,0.220
2,5:15,1,10,DEN 15,7,14,Mike Anderson left tackle for 4 yards (tackle by Cedric Killings and Ryan Clark),-0.220,-0.110
2,4:31,2,6,DEN 19,7,14,Jake Plummer pass incomplete intended for Rod Smith,-0.110,-0.880
2,4:25,3,6,DEN 19,7,14,Jake Plummer pass incomplete intended for Rod Smith,-0.880,-2.140
2,4:22,4,6,DEN 19,7,14,"Todd Sauerbrun punts 45 yards, fair catch by James Thrash",-2.140,-1.400
2,4:13,1,10,WAS 37,7,14,Mark Brunell pass complete to Chris Cooley for 9 yards (tackle by D.J. Williams and Ebenezer Ekuban),1.400,2.070
2,3:36,2,1,WAS 46,7,14,Mark Brunell pass incomplete intended for Robert Royal,2.070,1.360
2,3:29,3,1,WAS 46,7,14,Mark Brunell up the middle for 2 yards (tackle by Demetrin Veal),1.360,2.130
2,2:50,1,10,WAS 48,7,14,Mark Brunell pass complete to Santana Moss for 32 yards (tackle by John Lynch),2.130,4.240
2,2:20,1,10,DEN 20,7,14,Clinton Portis right tackle for 1 yard (tackle by Gerard Warren),4.240,3.820
2,2:00,2,9,DEN 19,7,14,"Mark Brunell up the middle for 1 yard. Penalty on Mark Brunell: Illegal Forward Pass, 5 yards",3.820,2.610
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
2,1:52,3,13,DEN 23,7,14,Mark Brunell pass complete to James Thrash for 7 yards,2.610,2.400
2,1:46,4,6,DEN 16,10,14,Nick Novak 34 yard field goal good,2.400,3.000
2,,,,WAS 30,10,14,"Nick Novak kicks off 66 yards, returned by Charlie Adams for 24 yards (tackle by Mike Sellers)",0.000,0.810
2,1:37,1,10,DEN 28,10,14,Jake Plummer pass incomplete intended for Stephen Alexander (defended by Pierson Prioleau),0.810,0.260
2,1:33,2,10,DEN 28,10,14,Jake Plummer pass complete to Charlie Adams for 2 yards (tackle by Lemar Marshall),0.260,-0.160
2,0:50,3,8,DEN 30,10,14,Tatum Bell up the middle for 5 yards (tackle by Pierson Prioleau and Phillip Daniels),-0.160,-1.040
2,0:44,,,,10,14,Timeout #1 by Washington Redskins,0.000,-1.040
2,0:44,4,3,DEN 35,10,14,"Todd Sauerbrun punts 38 yards, returned by James Thrash for 7 yards (tackle by Patrick Chukwurah)",-1.040,-1.200
2,0:33,1,10,WAS 34,10,14,Mark Brunell pass complete to Chris Cooley for 11 yards (tackle by Nick Ferguson),1.200,1.930
2,0:22,,,,10,14,Timeout #2 by Washington Redskins,0.000,1.930
2,0:22,1,10,WAS 45,10,14,Mark Brunell pass incomplete intended for Chris Cooley,1.930,1.380
2,0:16,2,10,WAS 45,10,14,"Mark Brunell pass incomplete. Penalty on Lenny Walls: Defensive Holding, 5 yards (no play)",1.380,2.260
2,0:09,1,10,DEN 50,10,14,Mark Brunell pass complete to David Patten for 14 yards (tackle by Domonique Foxworth),2.260,3.180
2,0:02,,,,10,14,Timeout #3 by Washington Redskins,0.000,0.000
2,0:02,,,,10,14,Timeout #3 by Denver Broncos,0.000,3.180
2,0:02,1,10,DEN 36,10,14,"Penalty on Mike Sellers: False Start, 5 yards (no play)",3.180,2.850
2,0:02,1,15,DEN 41,10,14,Mark Brunell pass incomplete,2.850,1.960
Quarter,Time,Down,ToGo,Location,WAS,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 30,10,14,"Nick Novak kicks off 69 yards, returned by Charlie Adams for 32 yards (tackle by Rock Cartwright)",0.000,1.140
3,14:54,1,10,DEN 33,10,14,Mike Anderson right guard for 2 yards (tackle by Cornelius Griffin),1.140,0.860
3,14:22,2,8,DEN 35,10,14,Mike Anderson left end for 1 yard (tackle by Carlos Rogers),0.860,0.300
3,13:37,3,7,DEN 36,10,14,Jake Plummer pass incomplete intended for Ashley Lelie,0.300,-0.980
3,13:33,4,7,DEN 36,10,14,"Todd Sauerbrun punts 42 yards, fair catch by James Thrash",-0.980,-0.410
3,13:24,1,10,WAS 22,10,14,Mark Brunell pass complete to David Patten for 1 yard (tackle by D.J. Williams),0.410,0.000
3,12:43,2,9,WAS 23,10,14,Mark Brunell pass complete to Santana Moss for 17 yards (tackle by D.J. Williams),0.000,1.600
3,11:56,1,10,WAS 40,10,14,Clinton Portis for 6 yards,1.600,1.860
3,11:29,2,4,WAS 46,10,14,Mark Brunell pass complete to Chris Cooley for 3 yards (tackle by Domonique Foxworth and John Lynch),1.860,1.550
3,11:09,3,1,WAS 49,10,14,Mark Brunell pass incomplete,1.550,-0.130
3,10:59,4,1,WAS 49,10,14,Derrick Frost punts 49 yards,-0.130,0.380
3,10:48,1,10,DEN 2,10,14,Mike Anderson left guard for 3 yards (tackle by Lemar Marshall),-0.380,-0.560
3,10:10,2,7,DEN 5,10,14,Mike Anderson left tackle for 2 yards (tackle by Cornelius Griffin),-0.560,-0.840
3,9:25,3,5,DEN 7,10,14,Jake Plummer pass incomplete intended for Rod Smith,-0.840,-2.490
,,,,,,,"DEN challenged the ruling, and the original play was overturned.",,
3,9:15,4,5,DEN 7,10,14,"Todd Sauerbrun punts 50 yards, returned by Santana Moss for 2 yards (tackle by Keith Burns). Penalty on Keith Burns: Ineligible Downfield Kic, 3 yards (no play)",-2.490,-2.490
3,9:03,4,8,DEN 4,10,14,"Todd Sauerbrun punts 59 yards, returned by Santana Moss for 14 yards (tackle by Keith Burns)",-2.490,-2.320
3,8:50,1,10,DEN 49,10,14,Clinton Portis left end for 21 yards (tackle by Nick Ferguson),2.320,3.710
3,8:26,1,10,DEN 28,10,14,Mark Brunell pass incomplete intended for Santana Moss (defended by Domonique Foxworth),3.710,3.170
3,8:21,2,10,DEN 28,10,14,Clinton Portis right tackle for 8 yards (tackle by D.J. Williams),3.170,3.530
3,7:40,3,2,DEN 20,10,14,Mark Brunell pass incomplete intended for Clinton Portis,3.530,2.250
3,7:34,4,2,DEN 20,10,14,"Nick Novak 38 yard field goal no good, blocked by Trevor Pryce, recovered by Al Wilson and returned for 16 yards. Penalty on Nick Novak: Illegal Bat (Declined)",2.250,-1.600
3,7:21,1,10,DEN 40,10,14,Jake Plummer pass complete to Tatum Bell for 5 yards (tackle by Warrick Holdman),1.600,1.730
3,6:45,2,5,DEN 45,10,14,Jake Plummer pass incomplete intended for Ashley Lelie,1.730,1.030
3,6:39,3,5,DEN 45,10,20,"Tatum Bell right end for 55 yards, touchdown",1.030,7.000
3,,,,WAS 2,10,21,Jason Elam kicks extra point good,0.000,0.000
3,,,,DEN 30,10,21,"Todd Sauerbrun kicks off 65 yards, returned by James Thrash for 26 yards (tackle by Keith Burns). Penalty on Rock Cartwright: Illegal Block Above the , 10 yards",0.000,0.340
3,6:21,1,10,WAS 21,10,21,Clinton Portis right guard for 16 yards (tackle by Al Wilson),0.340,1.400
3,5:33,1,10,WAS 37,10,21,Mark Brunell pass complete to Chris Cooley for 9 yards (tackle by D.J. Williams and D.J. Williams),1.400,2.070
3,5:04,2,1,WAS 46,10,21,Clinton Portis left tackle for 1 yard (tackle by Demetrin Veal and John Engelberger),2.070,2.060
3,4:20,1,10,WAS 47,10,21,"Mark Brunell pass incomplete. Penalty on Mark Brunell: Intentional Grounding, 9 yards",2.060,0.300
3,4:15,2,19,WAS 38,10,21,Mark Brunell pass incomplete intended for Santana Moss,0.300,-0.360
3,4:07,3,19,WAS 38,10,21,Mark Brunell pass incomplete,-0.360,-0.850
3,3:56,4,19,WAS 38,10,21,Derrick Frost punts 33 yards,-0.850,-0.870
3,3:45,1,10,DEN 29,10,21,Rod Smith pass incomplete intended for Ashley Lelie,0.870,0.330
3,3:38,2,10,DEN 29,10,21,Jake Plummer pass complete to Rod Smith for 10 yards (tackle by Carlos Rogers),0.330,1.530
3,3:03,1,10,DEN 39,10,21,Tatum Bell left tackle for 6 yards (tackle by Ryan Clark),1.530,1.800
3,2:29,2,4,DEN 45,10,21,Jake Plummer right end for 6 yards (tackle by Ryan Boschetti),1.800,2.320
3,1:47,1,10,WAS 49,10,21,Tatum Bell left tackle for no gain (tackle by Carlos Rogers),2.320,1.780
3,1:07,2,10,WAS 49,10,21,Jake Plummer pass incomplete intended for Kyle Johnson,1.780,1.090
3,1:00,,,,10,21,Timeout #1 by Denver Broncos,0.000,1.090
3,1:00,3,10,WAS 49,10,21,"Jake Plummer pass incomplete intended for Ashley Lelie. Penalty on Carlos Rogers: Illegal Contact, 5 yards (no play)",1.090,2.650
3,0:54,1,10,WAS 44,10,21,Mike Anderson left tackle for -1 yards (tackle by Phillip Daniels),2.650,1.980
3,0:14,2,11,WAS 45,10,21,Mike Anderson right tackle for 4 yards (tackle by Marcus Washington and Ryan Clark),1.980,1.820
Quarter,Time,Down,ToGo,Location,WAS,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,WAS 41,10,21,Jake Plummer pass incomplete intended for Charlie Adams,1.820,0.530
4,14:53,4,7,WAS 41,10,21,Todd Sauerbrun punts 27 yards,0.530,0.280
4,14:41,1,10,WAS 14,10,21,Mark Brunell pass complete to David Patten for 9 yards (tackle by John Lynch),-0.280,0.550
4,14:12,2,1,WAS 23,10,21,Clinton Portis right tackle for no gain (tackle by Ian Gold and Ebenezer Ekuban),0.550,-0.320
4,13:31,3,1,WAS 23,10,21,Clinton Portis left guard for 4 yards (tackle by Al Wilson),-0.320,0.740
4,13:12,1,10,WAS 27,10,21,Clinton Portis right guard for 2 yards (tackle by John Engelberger),0.740,0.470
4,12:37,2,8,WAS 29,10,21,Mark Brunell pass incomplete intended for Santana Moss (defended by Domonique Foxworth),0.470,-0.230
4,12:30,3,8,WAS 29,10,21,Mark Brunell pass incomplete intended for David Patten,-0.230,-1.440
4,12:24,4,8,WAS 29,10,21,"Derrick Frost punts 41 yards, fair catch by D.J. Williams",-1.440,-1.000
4,12:16,1,10,DEN 31,10,21,Tatum Bell right guard for 2 yards (tackle by Marcus Washington),1.000,0.730
4,11:36,2,8,DEN 33,10,21,Tatum Bell right guard for 7 yards (tackle by Ryan Boschetti and Ryan Clark),0.730,0.960
4,10:54,3,1,DEN 40,10,21,Tatum Bell left end for 2 yards (tackle by Marcus Washington and Ryan Clark),0.960,1.730
4,10:08,1,10,DEN 42,10,21,Mike Anderson right tackle for 4 yards (tackle by Demetric Evans and Marcus Washington),1.730,1.730
4,9:24,2,6,DEN 46,10,21,Tatum Bell left tackle for no gain (tackle by Warrick Holdman),1.730,1.030
4,8:42,3,6,DEN 46,10,21,Jake Plummer pass incomplete intended for Ashley Lelie (defended by Ade Jimoh),1.030,-0.320
4,8:34,4,6,DEN 46,10,21,Todd Sauerbrun punts no gain,-0.320,-2.920
4,8:27,1,10,DEN 40,10,21,Mark Brunell pass complete to Clinton Portis for 16 yards (tackle by Domonique Foxworth),2.920,3.970
4,7:50,1,10,DEN 24,10,21,Clinton Portis right end for 4 yards (tackle by Nick Ferguson),3.970,3.970
4,7:13,2,6,DEN 20,10,21,Clinton Portis left tackle for 2 yards (tackle by D.J. Williams and Nick Ferguson),3.970,3.570
4,6:35,3,4,DEN 18,10,21,Mark Brunell pass incomplete intended for Santana Moss,3.570,2.320
4,6:30,4,4,DEN 18,13,21,Nick Novak 36 yard field goal good,2.320,3.000
4,,,,WAS 30,13,21,"Nick Novak kicks off 47 yards, muffed catch by Dwayne Carswell, recovered by Dwayne Carswell and returned for no gain",0.000,0.740
4,6:23,1,10,DEN 27,13,21,Jake Plummer for 1 yard (tackle by Warrick Holdman),0.740,0.330
4,5:39,2,9,DEN 28,13,21,Jake Plummer pass complete to Kyle Johnson for 1 yard (tackle by Marcus Washington),0.330,-0.230
4,4:55,3,8,DEN 29,13,21,Jake Plummer pass incomplete intended for Rod Smith (defended by Phillip Daniels),-0.230,-1.440
4,4:51,4,8,DEN 29,13,21,Todd Sauerbrun punts 65 yards,-1.440,0.380
4,4:37,1,10,WAS 6,13,21,Mark Brunell pass complete to Chris Cooley for 23 yards (tackle by John Lynch),-0.380,0.870
4,3:58,1,10,WAS 29,13,21,"Penalty on Chris Samuels: False Start, 5 yards (no play)",0.870,0.540
4,3:54,1,15,WAS 24,13,21,Mark Brunell pass complete to Santana Moss for 4 yards (tackle by Al Wilson),0.540,0.190
4,3:21,2,11,WAS 28,13,21,Mark Brunell pass complete to Santana Moss for 21 yards (tackle by Domonique Foxworth),0.190,2.190
4,2:58,,,,13,21,Timeout #1 by Washington Redskins,0.000,2.190
4,2:58,1,10,WAS 49,13,21,Mark Brunell pass incomplete intended for Ladell Betts,2.190,1.650
4,2:51,2,10,WAS 49,13,21,Mark Brunell pass incomplete intended for David Patten,1.650,0.960
4,2:48,3,10,WAS 49,13,21,Mark Brunell pass incomplete intended for James Thrash (defended by D.J. Williams),0.960,-0.130
4,2:42,4,10,WAS 49,13,21,"Mark Brunell sacked by Gerard Warren for -9 yards. Penalty on Karl Paymah: Defensive Holding, 5 yards (no play)",-0.130,2.520
4,2:37,1,10,DEN 46,13,21,Mark Brunell pass incomplete intended for David Patten,2.520,1.980
4,2:31,2,10,DEN 46,13,21,Mark Brunell pass incomplete intended for Santana Moss (defended by Al Wilson),1.980,1.290
4,2:28,3,10,DEN 46,13,21,"Mark Brunell pass complete to Santana Moss for 19 yards (tackle by Karl Paymah). Penalty on Karl Paymah: Personal Foul, 15 yards (no play)",1.290,3.510
4,2:14,1,10,DEN 31,13,21,Mark Brunell pass incomplete intended for Chris Cooley (defended by Al Wilson),3.510,2.970
4,2:08,2,10,DEN 31,13,21,Clinton Portis right guard for 5 yards (tackle by John Engelberger),2.970,2.940
4,2:00,3,5,DEN 26,13,21,Mark Brunell pass complete to Santana Moss for 10 yards (tackle by D.J. Williams),2.940,4.510
4,1:23,1,10,DEN 16,13,21,Mark Brunell pass complete to David Patten for 5 yards (tackle by Lenny Walls),4.510,4.760
4,1:16,,,,13,21,Timeout #2 by Washington Redskins,0.000,4.760
4,1:15,2,5,DEN 11,19,21,"Mark Brunell pass complete to Chris Cooley for 11 yards, touchdown. Penalty on Ebenezer Ekuban: Defensive Holding (Declined)",4.760,7.000
4,,,,,19,21,"Two Point Attempt: Mark Brunell pass incomplete intended for David Patten, conversion fails",1.000,-1.000
4,,,,WAS 30,19,21,Nick Novak kicks onside 14 yards,0.000,2.650
4,1:09,1,10,WAS 44,19,21,Jake Plummer kneels for -1 yards,2.650,1.980
4,1:05,,,,19,21,Timeout #3 by Washington Redskins,0.000,1.980
4,1:05,2,11,WAS 45,19,21,Jake Plummer kneels for -1 yards,1.980,1.160
4,0:23,3,12,WAS 46,19,21,Jake Plummer kneels for -1 yards,1.160,0.130
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
