Unnamed: 0,MIA,LAR
First Downs,17,12
Rush-Yds-TDs,19-98-0,28-102-1
Cmp-Att-Yd-TD-INT,24-34-172-2-1,17-31-134-0-0
Sacked-Yards,4-30,1-9
Net Pass Yards,142,125
Total Yards,240,227
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,8-82,8-70
Third Down Conv.,1-11,2-13
Fourth Down Conv.,0-0,1-1
Time of Possession,28:41,31:19
