Quarter,Time,Down,ToGo,Location,MIA,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Andrew Franks kicks off 69 yards, returned by Benny Cunningham for 42 yards (tackle by Andrew Franks)",0.000,-1.470
1,14:54,1,10,LAR 38,0,0,"Penalty on Lance Kendricks: False Start, 5 yards (no play)",1.470,1.140
1,14:54,1,15,LAR 33,0,0,Jared Goff pass incomplete short right intended for Lance Kendricks (defended by Ndamukong Suh),1.140,0.250
1,14:50,2,15,LAR 33,0,0,Todd Gurley middle for 2 yards (tackle by Cameron Wake),0.250,-0.160
1,14:09,3,13,LAR 35,0,0,Jared Goff pass incomplete,-0.160,-1.040
1,13:57,4,13,LAR 35,0,0,"Johnny Hekker punts 46 yards, fair catch by Jarvis Landry",-1.040,-0.150
1,13:51,1,10,MIA 19,0,0,Ryan Tannehill pass complete short left to Dion Sims for 9 yards (tackle by Mark Barron),0.150,0.880
1,13:11,2,1,MIA 28,0,0,"Ryan Tannehill pass complete short right to Jarvis Landry for 2 yards (tackle by E.J. Gaines). Penalty on DeVante Parker: Offensive Pass Interference, 10 yards (no play)",0.880,-0.560
1,12:45,2,11,MIA 18,0,0,Ryan Tannehill pass complete short middle to Kenny Stills for 8 yards (tackle by Alec Ogletree),-0.560,-0.160
1,11:59,3,3,MIA 26,0,0,Ryan Tannehill pass incomplete deep right intended for Damien Williams,-0.160,-1.630
1,11:54,4,3,MIA 26,0,0,"Matt Darr punts 54 yards, returned by Tavon Austin for 12 yards (tackle by Michael Thomas)",-1.630,-1.070
1,11:42,1,10,LAR 32,0,0,"Tavon Austin right end for 7 yards (tackle by Kiko Alonso). Penalty on Kiko Alonso: Face Mask (15 Yards), 15 yards",1.070,2.520
1,11:16,1,10,MIA 46,0,0,Jared Goff pass complete short right to Tyler Higbee for 3 yards (tackle by Isa Abdul-Quddus),2.520,2.380
1,10:35,2,7,MIA 43,0,0,Jared Goff pass complete short right to Kenny Britt for 19 yards (tackle by Byron Maxwell),2.380,3.970
1,9:54,1,10,MIA 24,0,6,"Todd Gurley right guard for 24 yards, touchdown",3.970,7.000
1,9:47,,,MIA 15,0,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,9:47,,,LAR 35,0,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,9:47,1,10,MIA 25,0,7,Jay Ajayi right end for 4 yards (tackle by Alec Ogletree),0.610,0.600
1,9:10,2,6,MIA 29,0,7,Jay Ajayi right end for 1 yard (tackle by T.J. McDonald),0.600,0.040
1,8:25,3,5,MIA 30,0,7,Ryan Tannehill pass complete short middle to Jarvis Landry for 4 yards (tackle by Lamarcus Joyner),0.040,-1.110
1,7:45,4,1,MIA 34,0,7,"Matt Darr punts 46 yards, returned by Tavon Austin for 7 yards (tackle by Damien Williams)",-1.110,-0.740
1,7:28,1,10,LAR 27,0,7,Todd Gurley right tackle for -3 yards (tackle by Jordan Phillips),0.740,-0.210
1,6:48,2,13,LAR 24,0,7,Jared Goff pass complete short left to Brian Quick for 6 yards (tackle by Tony Lippett),-0.210,-0.100
1,6:08,3,7,LAR 30,0,7,Jared Goff pass incomplete short right intended for Brian Quick,-0.100,-1.370
1,6:03,4,7,LAR 30,0,7,"Johnny Hekker punts 40 yards, fair catch by Jakeem Grant",-1.370,-0.940
1,5:55,1,10,MIA 30,0,7,Jay Ajayi left tackle for no gain (tackle by Cam Thomas),0.940,0.390
1,5:21,2,10,MIA 30,0,7,Ryan Tannehill pass complete short left to DeVante Parker for 12 yards (tackle by E.J. Gaines),0.390,1.730
1,4:43,1,10,MIA 42,0,7,Jay Ajayi left end for 36 yards (tackle by Alec Ogletree),1.730,4.110
1,3:52,1,10,LAR 22,0,7,"Ryan Tannehill pass incomplete short left intended for DeVante Parker. Penalty on Ja'Wuan James: Offensive Holding, 11 yards (no play)",4.110,3.380
1,3:47,1,21,LAR 33,0,7,Kenyan Drake middle for 2 yards (tackle by Dominique Easley and Mark Barron),3.380,2.350
1,3:08,2,19,LAR 31,0,7,Ryan Tannehill pass complete short middle to Jay Ajayi for -2 yards (tackle by Alec Ogletree),2.350,1.420
1,2:23,3,21,LAR 33,0,7,Ryan Tannehill pass complete short middle to Jarvis Landry for -3 yards (tackle by Trumaine Johnson),1.420,0.880
1,1:26,4,24,LAR 36,0,7,"Penalty on Ryan Tannehill: Delay of Game, 5 yards (no play)",0.880,0.530
1,1:18,4,29,LAR 41,0,7,Matt Darr punts 39 yards,0.530,0.380
1,1:08,1,10,LAR 2,0,7,Todd Gurley right guard for -1 yards (tackle by Jason Jones and Ndamukong Suh),-0.380,-0.850
1,0:26,2,11,LAR 1,0,7,Todd Gurley middle for 18 yards (tackle by Bacarri Rambo),-0.850,0.150
Quarter,Time,Down,ToGo,Location,MIA,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 19,0,7,Jared Goff pass incomplete deep left intended for Kenny Britt (defended by Byron Maxwell),0.150,-0.390
2,14:53,2,10,LAR 19,0,7,Jared Goff pass incomplete short right intended for Tyler Higbee,-0.390,-1.070
2,14:49,3,10,LAR 19,0,7,Jared Goff pass complete short right to Brian Quick for 9 yards (tackle by Isa Abdul-Quddus),-1.070,-1.500
,,,,,,,"challenged the short of the line to gain ruling, and the play was upheld.",,
2,14:27,4,1,LAR 28,0,7,"Johnny Hekker punts 61 yards, returned by Jarvis Landry for 1 yard (tackle by Bradley Marquez)",-1.500,0.350
2,14:21,1,10,MIA 12,0,7,Jay Ajayi middle for 2 yards (tackle by Mark Barron and Josh Forrest),-0.350,-0.610
2,13:39,2,8,MIA 14,0,7,Ryan Tannehill pass complete short left to Kenny Stills for 3 yards (tackle by Maurice Alexander),-0.610,-0.840
2,12:55,3,5,MIA 17,0,7,Ryan Tannehill sacked by Lamarcus Joyner for -7 yards,-0.840,-2.490
2,12:19,4,12,MIA 10,0,7,"Matt Darr punts 48 yards, returned by Pharoh Cooper for -3 yards (tackle by Michael Thomas). Penalty on Michael Thomas: Unsportsmanlike Conduct (Offsetting), Penalty on Josh Forrest: Unsportsmanlike Conduct (Offsetting)",-2.490,-1.530
2,12:03,1,10,LAR 39,0,7,Todd Gurley right tackle for 3 yards (tackle by Neville Hewitt),1.530,1.390
2,11:28,2,7,LAR 42,0,7,Tavon Austin middle for 1 yard (tackle by Isa Abdul-Quddus),1.390,0.830
2,10:44,3,6,LAR 43,0,7,Jared Goff pass complete short left to Kenny Britt for 4 yards (tackle by Spencer Paysinger),0.830,-0.260
2,10:02,4,2,LAR 47,0,7,"Johnny Hekker punts 40 yards, out of bounds",-0.260,0.320
2,9:53,1,10,MIA 13,0,7,Jay Ajayi left tackle for 9 yards (tackle by Mark Barron),-0.320,0.490
2,9:18,2,1,MIA 22,0,7,Jay Ajayi right end for 11 yards (tackle by Maurice Alexander),0.490,1.140
2,8:29,1,10,MIA 33,0,7,Ryan Tannehill pass complete short left to DeVante Parker for 9 yards (tackle by E.J. Gaines),1.140,1.730
2,7:50,1,10,MIA 42,0,7,Jay Ajayi middle for 2 yards (tackle by Aaron Donald and Maurice Alexander),1.730,1.460
2,7:09,2,8,MIA 44,0,7,Ryan Tannehill for 9 yards (tackle by Josh Forrest),1.460,2.460
2,6:33,1,10,LAR 47,0,7,Jay Ajayi left tackle for -1 yards (tackle by Ethan Westbrooks),2.460,1.780
2,5:54,2,11,LAR 48,0,7,Ryan Tannehill pass incomplete short right intended for Kenny Stills (defended by Trumaine Johnson),1.780,1.090
