Quarter,Time,Tm,Detail,MIA,LAR
1.0,9:47,Rams,Todd Gurley 24 yard rush (Greg Zuerlein kick),0,7
3.0,1:39,Rams,Greg Zuerlein 46 yard field goal,0,10
4.0,4:02,Dolphins,Jarvis Landry 10 yard pass from Ryan Tannehill (Andrew Franks kick),7,10
,0:36,Dolphins,DeVante Parker 9 yard pass from Ryan Tannehill (Andrew Franks kick),14,10
