#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,LAR 38,3,1:09,-3,Punt
2,1,11:42,LAR 32,4,1:55,68,Touchdown
3,1,7:28,LAR 27,3,1:33,3,Punt
4,1,1:08,LAR 2,4,1:47,26,Punt
5,2,12:03,LAR 39,3,2:10,8,Punt
6,2,5:34,LAR 8,6,3:46,17,Punt
7,2,0:10,LAR 31,1,0:10,-1,End of Half
8,3,13:20,LAR 24,2,0:15,10,Fumble
9,3,12:54,LAR 20,6,3:28,32,Punt
10,3,7:44,LAR 23,10,6:05,49,Field Goal
11,4,14:11,LAR 47,4,2:07,-9,Punt
12,4,11:07,LAR 50,7,4:27,20,Missed FG
13,4,4:02,LAR 25,3,1:51,6,Punt
14,4,0:36,LAR 41,5,0:36,12,End of Game
