Quarter,Time,Tm,Detail,JAX,KAN
1.0,7:56,Chiefs,Travis Kelce 8 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
,5:04,Jaguars,Christian Kirk 10 yard pass from Trevor Lawrence (Riley Patterson kick),7,7
2.0,14:09,Chiefs,Harrison Butker 50 yard field goal,7,10
,3:54,Chiefs,Travis Kelce 1 yard pass from Chad Henne (Harrison Butker kick),7,17
,0:27,Jaguars,Riley Patterson 41 yard field goal,10,17
3.0,0:08,Chiefs,Harrison Butker 50 yard field goal,10,20
4.0,11:49,Jaguars,Travis Etienne 4 yard rush (Riley Patterson kick),17,20
,7:08,Chiefs,Marquez Valdes-Scantling 6 yard pass from Patrick Mahomes (Harrison Butker kick),17,27
,0:25,Jaguars,Riley Patterson 48 yard field goal,20,27
