Unnamed: 0,JAX,KAN
First Downs,20,23
Rush-Yds-TDs,19-144-1,30-144-0
Cmp-Att-Yd-TD-INT,24-39-217-1-1,27-37-218-3-0
Sacked-Yards,2-12,0-0
Net Pass Yards,205,218
Total Yards,349,362
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,5-40,3-30
Third Down Conv.,7-13,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,24:59,35:01
