Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA
1,7:56,,,KAN 35,0,7,"Harrison Butker kicks off 67 yards, returned by Jamal Agnew for 63 yards (tackle by Jaylen Watson)",0.000,2.980
1,7:47,1,10,KAN 39,0,7,Trevor Lawrence pass complete short right to Christian Kirk for 7 yards (tackle by L'Jarius Sneed),2.980,3.390
1,7:10,2,3,KAN 32,0,7,Jamal Agnew left end for 2 yards (tackle by Justin Reid),3.390,2.940
1,6:29,3,1,KAN 30,0,7,Travis Etienne right guard for 19 yards (tackle by L'Jarius Sneed),2.940,4.840
1,5:49,1,10,KAN 11,0,7,Travis Etienne up the middle for 1 yard (tackle by Chris Jones),4.840,4.320
1,5:08,2,9,KAN 10,6,7,"Trevor Lawrence pass complete short right to Christian Kirk for 10 yards, touchdown",4.320,7.000
1,5:04,,,KAN 15,7,7,Riley Patterson kicks extra point good,0.000,0.000
1,5:04,,,JAX 35,7,7,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
1,5:04,1,10,KAN 25,7,7,"Patrick Mahomes scrambles up the middle for 5 yards (tackle by Andre Cisco and Travon Walker). Penalty on Devin Lloyd: Defensive Holding, 5 yards (accepted)",0.610,1.270
1,4:44,1,10,KAN 35,7,7,Patrick Mahomes pass complete short left to Kadarius Toney for 6 yards (tackle by Tre Herndon),1.270,1.530
1,4:10,2,4,KAN 41,7,7,Patrick Mahomes pass complete short right to Travis Kelce for -2 yards (tackle by Roy Robertson-Harris),1.530,0.560
1,3:27,3,6,KAN 39,7,7,Patrick Mahomes pass complete short right to Justin Watson for 12 yards (tackle by Tre Herndon),0.560,2.320
1,2:39,1,10,JAX 49,7,7,Patrick Mahomes pass complete short right to Blake Bell for 4 yards (tackle by Josh Allen),2.320,2.320
1,1:53,,,,,,Timeout #1 by Kansas City Chiefs,,
1,1:53,2,6,JAX 45,7,7,Jerick McKinnon right end for 4 yards (tackle by Corey Peters),2.320,2.150
1,1:13,3,2,JAX 41,7,7,Jerick McKinnon up the middle for 2 yards (tackle by Folorunso Fatukasi),2.150,2.980
1,0:31,1,10,JAX 39,7,7,Patrick Mahomes pass complete short middle to Travis Kelce for 7 yards (tackle by Foyesade Oluokun and Devin Lloyd),2.980,3.390
Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,JAX 32,7,7,Patrick Mahomes pass complete short left to Skyy Moore for no gain (tackle by Tre Herndon),3.390,2.680
2,14:17,3,3,JAX 32,7,7,Patrick Mahomes pass incomplete short middle,2.680,1.290
2,14:13,4,3,JAX 32,7,10,Harrison Butker 50 yard field goal good,1.290,3.000
2,14:09,,,KAN 35,7,10,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,14:09,1,10,JAX 25,7,10,Trevor Lawrence pass complete short left to Travis Etienne for 9 yards (tackle by Trent McDuffie),0.610,1.280
2,13:32,2,1,JAX 34,7,10,Trevor Lawrence up the middle for 3 yards (tackle by Nick Bolton),1.280,1.400
2,13:06,1,10,JAX 37,7,10,Jamycal Hasty right end for 23 yards (tackle by Juan Thornhill),1.400,2.920
2,12:23,1,10,KAN 40,7,10,Trevor Lawrence pass complete short right to Evan Engram for 10 yards (tackle by Darius Harris),2.920,3.580
2,11:46,1,10,KAN 30,7,10,Trevor Lawrence pass complete short left to Zay Jones for 5 yards (tackle by Frank Clark),3.580,3.710
2,11:02,2,5,KAN 25,7,10,"Trevor Lawrence pass incomplete short right intended for Christian Kirk. Penalty on Walker Little: Tripping / Offense, 10 yards (accepted) (no play)",3.710,2.360
2,11:02,2,15,KAN 35,7,10,Trevor Lawrence sacked by Frank Clark for -4 yards,2.360,1.160
2,10:16,3,19,KAN 39,7,10,Trevor Lawrence pass incomplete short left intended for Jamycal Hasty,1.160,0.660
2,10:08,4,19,KAN 39,7,10,Logan Cooke punts 37 yards downed by Daniel Thomas,0.660,0.380
2,9:59,1,10,KAN 2,7,10,Chad Henne pass complete short left to Travis Kelce for 6 yards (tackle by Andre Cisco and Foyesade Oluokun),-0.380,-0.340
2,9:25,2,4,KAN 8,7,10,Isiah Pacheco right guard for 8 yards (tackle by Foyesade Oluokun),-0.340,-0.140
2,8:50,1,10,KAN 16,7,10,Isiah Pacheco left end for 7 yards (tackle by Foyesade Oluokun and Josh Allen),-0.140,0.420
2,8:07,2,3,KAN 23,7,10,Chad Henne pass incomplete short middle intended for Noah Gray (defended by DaVon Hamilton),0.420,-0.450
2,8:01,3,3,KAN 23,7,10,Chad Henne pass complete short right to Kadarius Toney for 8 yards (tackle by Darious Williams),-0.450,1.000
2,7:18,1,10,KAN 31,7,10,Chad Henne pass complete short right to Travis Kelce for 4 yards (tackle by Rayshawn Jenkins),1.000,1.000
2,6:36,2,6,KAN 35,7,10,Skyy Moore left end for 3 yards (tackle by Foyesade Oluokun and Rayshawn Jenkins),1.000,0.700
2,5:49,,,,,,Timeout #2 by Kansas City Chiefs,,
2,5:49,3,3,KAN 38,7,10,"Chad Henne pass complete short left to Travis Kelce for 4 yards (tackle by Rayshawn Jenkins). Penalty on Arden Key: Roughing the Passer, 15 yards (accepted)",0.700,2.720
2,5:26,1,10,JAX 43,7,10,Chad Henne pass incomplete short left intended for Blake Bell,2.720,2.180
2,5:22,2,10,JAX 43,7,10,Isiah Pacheco left end for 39 yards (tackle by Tyson Campbell),2.180,6.280
2,4:37,1,4,JAX 4,7,10,Isiah Pacheco up the middle for 3 yards (tackle by Shaquille Quarterman),6.280,5.910
2,3:58,2,1,JAX 1,7,16,"Chad Henne pass complete short left to Travis Kelce for 1 yard, touchdown",5.910,7.000
2,3:54,,,JAX 15,7,16,"Penalty on Nick Allegretti: False Start, 5 yards (accepted) (no play)",0.000,0.000
2,3:54,,,JAX 20,7,17,Harrison Butker kicks extra point good,0.000,0.000
2,3:54,,,KAN 35,7,17,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,3:54,1,10,JAX 25,7,17,Travis Etienne right end for 6 yards (tackle by Carlos Dunlap and Nick Bolton),0.610,0.870
2,3:15,2,4,JAX 31,7,17,Travis Etienne left end for 5 yards (tackle by Nick Bolton and George Karlaftis),0.870,1.330
2,2:35,1,10,JAX 36,7,17,Trevor Lawrence pass incomplete deep left intended for Christian Kirk,1.330,0.790
2,2:25,2,10,JAX 36,7,17,Travis Etienne up the middle for 4 yards (tackle by Nick Bolton),0.790,0.630
2,2:00,3,6,JAX 40,7,17,Trevor Lawrence pass complete short middle to Christian Kirk for 15 yards (tackle by L'Jarius Sneed),0.630,2.590
2,1:36,1,10,KAN 45,7,17,Trevor Lawrence pass complete short left to Christian Kirk for 7 yards (tackle by Nick Bolton),2.590,2.990
2,1:30,2,3,KAN 38,7,17,Trevor Lawrence pass complete short left to Jamycal Hasty for 7 yards (tackle by Justin Reid),2.990,3.510
2,1:24,1,10,KAN 31,7,17,Jamycal Hasty left guard for 4 yards (tackle by Bryan Cook),3.510,3.510
2,1:00,2,6,KAN 27,7,17,Trevor Lawrence pass complete short right to Christian Kirk for 4 yards (tackle by Jaylen Watson),3.510,3.340
2,0:37,3,2,KAN 23,7,17,Trevor Lawrence pass incomplete short left intended for Christian Kirk,3.340,2.050
2,0:31,4,2,KAN 23,10,17,Riley Patterson 41 yard field goal good,2.050,3.000
2,0:27,,,JAX 35,10,17,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
2,0:27,1,10,KAN 25,10,17,Chad Henne kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,10,17,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,10,17,Isiah Pacheco right end for 3 yards (tackle by Devin Lloyd and DaVon Hamilton),0.610,0.470
3,14:26,2,7,KAN 28,10,17,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Rayshawn Jenkins),0.470,0.560
3,13:45,3,1,KAN 34,10,17,Patrick Mahomes scrambles right end for 4 yards (tackle by Devin Lloyd),0.560,1.470
3,13:05,1,10,KAN 38,10,17,Jerick McKinnon right end for no gain (tackle by Adam Gotsis and Folorunso Fatukasi),1.470,0.920
3,12:27,2,10,KAN 38,10,17,Patrick Mahomes pass incomplete short right intended for Kadarius Toney,0.920,0.230
3,12:20,3,10,KAN 38,10,17,Patrick Mahomes pass incomplete short left intended for Travis Kelce (defended by Travon Walker),0.230,-0.850
3,12:15,4,10,KAN 38,10,17,"Tommy Townsend punts 56 yards, returned by Jamal Agnew for 9 yards (tackle by Darius Harris)",-0.850,0.220
3,12:02,1,10,JAX 15,10,17,Jamycal Hasty up the middle for 5 yards (tackle by Jaylen Watson),-0.220,0.080
3,11:19,2,5,JAX 20,10,17,Travis Etienne left end for 2 yards (tackle by Derrick Nnadi and Nick Bolton),0.080,-0.510
3,10:40,3,3,JAX 22,10,17,Trevor Lawrence pass complete short right to Travis Etienne for 3 yards (tackle by L'Jarius Sneed and Juan Thornhill),-0.510,0.610
3,10:00,1,10,JAX 25,10,17,Travis Etienne up the middle for 12 yards (tackle by L'Jarius Sneed),0.610,1.400
3,9:27,1,10,JAX 37,10,17,Travis Etienne right guard for 3 yards (tackle by Carlos Dunlap),1.400,1.260
3,8:44,2,7,JAX 40,10,17,Trevor Lawrence pass incomplete short right intended for Christian Kirk,1.260,0.560
3,8:40,3,7,JAX 40,10,17,Trevor Lawrence pass incomplete short middle intended for Christian Kirk,0.560,-0.720
3,8:37,4,7,JAX 40,10,17,"Logan Cooke punts 46 yards, returned by Kadarius Toney for 6 yards (tackle by Caleb Johnson and Daniel Thomas)",-0.720,-0.280
3,8:26,1,10,KAN 20,10,17,Isiah Pacheco up the middle for 3 yards (tackle by Roy Robertson-Harris and DaVon Hamilton),0.280,0.140
3,7:45,2,7,KAN 23,10,17,"Patrick Mahomes pass complete short left to Isiah Pacheco for 6 yards (tackle by Foyesade Oluokun) KAN challenged the short of the line to gain ruling, and the play was upheld.",0.140,0.230
3,7:12,3,1,KAN 29,10,17,Noah Gray up the middle for no gain (tackle by Roy Robertson-Harris and Foyesade Oluokun),0.230,-1.440
3,6:16,4,1,KAN 29,10,17,"Tommy Townsend punts 60 yards, fair catch by Jamal Agnew at JAC-11",-1.440,0.370
3,6:08,1,10,JAX 11,10,17,Jamycal Hasty up the middle for 4 yards (tackle by Juan Thornhill and L'Jarius Sneed),-0.370,-0.430
3,5:31,2,6,JAX 15,10,17,Trevor Lawrence pass complete short left to Evan Engram for 4 yards (tackle by Juan Thornhill),-0.430,-0.480
3,4:52,3,2,JAX 19,10,17,Trevor Lawrence pass complete short middle to Evan Engram for 5 yards (tackle by Nick Bolton and Justin Reid),-0.480,0.540
3,4:11,1,10,JAX 24,10,17,Trevor Lawrence pass complete short left to Jamal Agnew for 2 yards (tackle by L'Jarius Sneed and Trent McDuffie),0.540,0.270
3,3:29,2,8,JAX 26,10,17,Trevor Lawrence pass complete short left to Evan Engram for -4 yards (tackle by Frank Clark),0.270,-0.960
3,2:42,3,12,JAX 22,10,17,Trevor Lawrence pass incomplete deep right intended for Christian Kirk,-0.960,-1.900
3,2:35,4,12,JAX 22,10,17,"Logan Cooke punts 50 yards, returned by Kadarius Toney for 11 yards (tackle by Adam Gotsis)",-1.900,-1.530
3,2:25,1,10,KAN 39,10,17,Patrick Mahomes pass complete deep left to Noah Gray for 27 yards (tackle by Andrew Wingard),1.530,3.310
3,1:46,1,10,JAX 34,10,17,Jerick McKinnon left guard for 1 yard (tackle by DaVon Hamilton),3.310,2.910
3,1:09,2,9,JAX 33,10,17,Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling (defended by Darious Williams),2.910,2.210
3,1:02,3,9,JAX 33,10,17,"Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling. Penalty on JuJu Smith-Schuster: Offensive Pass Interference, 10 yards (accepted) (no play)",2.210,0.890
3,0:57,3,19,JAX 43,10,17,Patrick Mahomes pass complete short middle to Travis Kelce for 11 yards (tackle by Devin Lloyd and Foyesade Oluokun),0.890,1.240
3,0:12,4,8,JAX 32,10,20,Harrison Butker 50 yard field goal good,1.240,3.000
3,0:08,,,KAN 35,10,20,"Harrison Butker kicks off 66 yards, returned by Jamal Agnew for 26 yards (tackle by Michael Burton)",0.000,0.610
3,0:02,1,10,JAX 25,10,20,Trevor Lawrence sacked by Derrick Nnadi for -8 yards,0.610,-1.150
Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,18,JAX 17,10,20,Trevor Lawrence pass complete short middle to Zay Jones for 12 yards (tackle by Trent McDuffie),-1.150,-0.100
4,14:23,3,6,JAX 29,10,20,Trevor Lawrence scrambles up the middle for 11 yards (tackle by Nick Bolton),-0.100,1.600
4,13:44,1,10,JAX 40,10,20,Travis Etienne up the middle for 6 yards (tackle by Nick Bolton),1.600,1.860
4,13:04,2,4,JAX 46,10,20,"Penalty on Chris Manhertz: False Start, 5 yards (accepted) (no play)",1.860,1.190
4,13:04,2,9,JAX 41,10,20,"Trevor Lawrence pass complete deep right to Zay Jones for 37 yards (tackle by Jaylen Watson). Penalty on Trent McDuffie: Defensive Holding, 5 yards (declined)",1.190,4.110
4,12:35,1,10,KAN 22,10,20,Christian Kirk right end for 18 yards (tackle by Justin Reid),4.110,6.280
4,11:53,1,4,KAN 4,16,20,"Travis Etienne for 4 yards, touchdown",6.280,7.000
4,11:49,,,KAN 15,17,20,Riley Patterson kicks extra point good,0.000,0.000
4,11:49,,,JAX 35,17,20,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
4,11:49,1,10,KAN 25,17,20,Patrick Mahomes pass incomplete deep left intended for Travis Kelce,0.610,0.060
4,11:44,2,10,KAN 25,17,20,Patrick Mahomes pass complete short right to Travis Kelce for 11 yards (tackle by Tre Herndon),0.060,1.330
4,11:08,1,10,KAN 36,17,20,Patrick Mahomes pass incomplete short right intended for Kadarius Toney,1.330,0.790
4,11:03,2,10,KAN 36,17,20,Patrick Mahomes pass complete short left to Travis Kelce for 15 yards (tackle by Arden Key),0.790,2.320
4,10:23,1,10,JAX 49,17,20,Jerick McKinnon left end for 4 yards (tackle by Foyesade Oluokun and Rayshawn Jenkins),2.320,2.320
4,9:46,2,6,JAX 45,17,20,"Penalty on Corey Peters: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.320,3.000
4,9:40,2,1,JAX 40,17,20,"Patrick Mahomes pass complete deep left to JuJu Smith-Schuster for 16 yards (tackle by Tyson Campbell). Penalty on Folorunso Fatukasi: Illegal Use of Hands / Defense, 5 yards (declined)",3.000,3.970
4,9:16,1,10,JAX 24,17,20,Isiah Pacheco left end for 7 yards (tackle by Foyesade Oluokun),3.970,4.460
4,8:36,2,3,JAX 17,17,20,Kadarius Toney left end for 14 yards (tackle by Roy Robertson-Harris),4.460,6.510
4,7:59,1,3,JAX 3,17,20,Jerick McKinnon left tackle for -3 yards (tackle by DaVon Hamilton),6.510,4.950
4,7:13,2,6,JAX 6,17,26,"Patrick Mahomes pass complete short middle to Marquez Valdes-Scantling for 6 yards, touchdown",4.950,7.000
4,7:08,,,JAX 15,17,27,Harrison Butker kicks extra point good,0.000,0.000
4,7:08,,,KAN 35,17,27,"Harrison Butker kicks off 62 yards, returned by Jamal Agnew for 42 yards (tackle by Harrison Butker)",0.000,1.930
4,7:02,1,10,JAX 45,17,27,Trevor Lawrence pass incomplete deep middle intended for Christian Kirk (defended by Juan Thornhill),1.930,1.380
4,6:56,2,10,JAX 45,17,27,Trevor Lawrence pass incomplete short left intended for Zay Jones,1.380,0.700
4,6:52,3,10,JAX 45,17,27,Trevor Lawrence pass complete short left to Evan Engram for 16 yards (tackle by L'Jarius Sneed),0.700,2.980
4,6:25,1,10,KAN 39,17,27,"Trevor Lawrence pass complete deep right to Zay Jones for 18 yards (tackle by Juan Thornhill). Penalty on Frank Clark: Defensive Offside, 5 yards (declined)",2.980,4.170
4,6:13,1,10,KAN 21,17,27,Trevor Lawrence pass incomplete deep left intended for Marvin Jones (defended by Juan Thornhill),4.170,3.630
4,6:07,2,10,KAN 21,17,27,Trevor Lawrence pass incomplete short right intended for Evan Engram,3.630,2.940
4,6:03,3,10,KAN 21,17,27,Trevor Lawrence scrambles left end for 12 yards (tackle by L'Jarius Sneed),2.940,5.140
4,5:38,1,9,KAN 9,17,27,"Trevor Lawrence pass complete short right to Jamal Agnew for 3 yards. Jamal Agnew fumbles, recovered by Nick Bolton at KC-3 Replay Assistant challenged the fumble ruling, and the play was upheld.",5.140,0.380
4,5:29,1,10,KAN 3,17,27,Isiah Pacheco up the middle for 4 yards (tackle by Corey Peters and Roy Robertson-Harris),-0.380,-0.490
4,5:21,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,5:21,2,6,KAN 7,17,27,Patrick Mahomes pass complete short left to Kadarius Toney for 5 yards (tackle by Rayshawn Jenkins),-0.490,-0.370
4,4:37,3,1,KAN 12,17,27,Isiah Pacheco right end for no gain (tackle by Roy Robertson-Harris and Josh Allen),-0.370,-2.490
4,4:30,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,4:30,4,1,KAN 12,17,27,"Tommy Townsend punts 47 yards, returned by Jamal Agnew for 5 yards (tackle by Noah Gray)",-2.490,-1.990
4,4:18,1,10,JAX 46,17,27,Trevor Lawrence pass complete short right to Christian Kirk for 4 yards (tackle by Justin Reid),1.990,1.990
4,3:54,2,6,JAX 50,17,27,Trevor Lawrence pass deep left intended for Zay Jones is intercepted by Jaylen Watson at KC-30 and returned for 1 yard,1.990,0.140
4,3:48,1,10,KAN 16,17,27,Jerick McKinnon left end for 7 yards (tackle by Devin Lloyd),-0.140,0.420
4,3:41,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,3:41,2,3,KAN 23,17,27,Patrick Mahomes pass complete short right to Kadarius Toney for 8 yards (tackle by Darious Williams),0.420,1.000
4,2:59,1,10,KAN 31,17,27,Jerick McKinnon right guard for -1 yards (tackle by Travon Walker and Corey Peters),1.000,0.320
4,2:14,2,11,KAN 30,17,27,Jerick McKinnon up the middle for 1 yard (tackle by Travon Walker),0.320,-0.230
4,2:00,3,10,KAN 31,17,27,Jerick McKinnon up the middle for 5 yards (tackle by DaVon Hamilton),-0.230,-0.980
4,1:16,,,,,,Timeout #2 by Kansas City Chiefs,,
4,1:16,4,5,KAN 36,17,27,"Tommy Townsend punts 40 yards, returned by Jamal Agnew for 9 yards (tackle by Chris Lammons and Noah Gray)",-0.980,-1.140
4,1:04,1,10,JAX 33,17,27,Trevor Lawrence pass complete short right to Zay Jones for 11 yards (tackle by Justin Reid),1.140,1.860
4,0:58,1,10,JAX 44,17,27,Trevor Lawrence pass complete deep left to Marvin Jones for 21 yards (tackle by Nick Bolton),1.860,3.250
4,0:43,1,10,KAN 35,17,27,Trevor Lawrence spiked the ball,3.250,2.700
4,0:42,2,10,KAN 35,17,27,Trevor Lawrence pass incomplete deep left intended for Marvin Jones (defended by Trent McDuffie),2.700,2.010
4,0:35,3,10,KAN 35,17,27,Trevor Lawrence pass complete short left to Christian Kirk for 5 yards,2.010,1.450
4,0:30,4,5,KAN 30,20,27,Riley Patterson 48 yard field goal good,1.450,3.000
4,0:25,,,JAX 35,20,27,"Riley Patterson kicks onside 11 yards, returned by Kadarius Toney for no gain",0.000,2.520
4,0:24,1,10,JAX 46,20,27,Patrick Mahomes kneels for -1 yards,2.520,1.840
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
