Unnamed: 0,CLE,PIT
First Downs,17,25
Rush-Yds-TDs,21-74-0,31-168-2
Cmp-Att-Yd-TD-INT,22-36-180-2-1,24-36-257-2-1
Sacked-Yards,2-17,1-4
Net Pass Yards,163,253
Total Yards,237,421
Fumbles-Lost,0-0,3-1
Turnovers,1,2
Penalties-Yards,7-52,8-60
Third Down Conv.,3-13,6-13
Fourth Down Conv.,1-1,1-1
Time of Possession,27:48,32:12
