Unnamed: 0,NOR,TAM
First Downs,10,21
Rush-Yds-TDs,28-124-0,18-56-0
Cmp-Att-Yd-TD-INT,13-30-142-1-1,27-46-323-2-2
Sacked-Yards,1-9,4-27
Net Pass Yards,133,296
Total Yards,257,352
Fumbles-Lost,0-0,4-4
Turnovers,1,6
Penalties-Yards,5-47,5-35
Third Down Conv.,6-16,4-13
Fourth Down Conv.,0-2,1-2
Time of Possession,30:14,29:46
