Quarter,Time,Tm,Detail,PIT,CIN
2.0,11:17,Steelers,Heath Miller 1 yard pass from Ben Roethlisberger (Shaun Suisham kick),7,0
,9:06,Bengals,Jermaine Gresham 10 yard pass from Andy Dalton (Mike Nugent kick),7,7
,2:57,Bengals,Andy Dalton 20 yard rush (Mike Nugent kick),7,14
,0:11,Steelers,Shaun Suisham 22 yard field goal,10,14
3.0,5:24,Steelers,Le'Veon Bell 10 yard pass from Ben Roethlisberger (Shaun Suisham kick),17,14
,0:00,Bengals,A.J. Green 81 yard pass from Andy Dalton (Mike Nugent kick),17,21
4.0,13:32,Steelers,Shaun Suisham 44 yard field goal,20,21
,11:27,Steelers,Le'Veon Bell 13 yard rush (Heath Miller pass from Ben Roethlisberger),28,21
,8:31,Steelers,Martavis Bryant 94 yard pass from Ben Roethlisberger (Shaun Suisham kick),35,21
,5:09,Steelers,Le'Veon Bell 22 yard rush (Shaun Suisham kick),42,21
