Unnamed: 0,PIT,CIN
First Downs,25,16
Rush-Yds-TDs,31-193-2,21-86-1
Cmp-Att-Yd-TD-INT,25-39-350-3-0,25-35-327-2-0
Sacked-Yards,0-0,3-5
Net Pass Yards,350,322
Total Yards,543,408
Fumbles-Lost,0-0,3-2
Turnovers,0,2
Penalties-Yards,3-20,7-54
Third Down Conv.,8-16,3-11
Fourth Down Conv.,0-0,0-1
Time of Possession,32:45,27:15
