#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1.0,10:52,SFO 10,8,4:34,63,Field Goal
2,1.0,2:45,SFO 12,13,5:38,88,Touchdown
3,2.0,10:28,SFO 15,4,2:22,22,Punt
4,2.0,6:30,DET 16,4,1:35,-8,Field Goal
5,2.0,1:53,SFO 13,3,1:04,-9,Punt
6,,0:03,,0,0:03,0,End of Half
7,3.0,15:00,DET 26,4,1:43,26,Touchdown
8,3.0,8:46,SFO 22,7,2:59,33,Punt
9,3.0,2:05,SFO 3,3,1:13,97,Touchdown
10,4.0,14:43,SFO 47,7,3:22,35,Field Goal
11,4.0,8:36,SFO 25,3,2:28,-1,Punt
12,4.0,3:27,SFO 22,6,2:19,18,Punt
13,4.0,0:14,DET 39,1,0:14,-1,End of Game
