Unnamed: 0,KAN,NYJ
First Downs,13,24
Rush-Yds-TDs,21-65-0,42-159-3
Cmp-Att-Yd-TD-INT,16-32-195-1-1,13-21-181-2-0
Sacked-Yards,5-39,3-26
Net Pass Yards,156,155
Total Yards,221,314
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,11-128,4-22
Third Down Conv.,2-12,4-12
Fourth Down Conv.,0-1,0-1
Time of Possession,22:18,37:42
