Quarter,Time,Tm,Detail,KAN,NYJ
1.0,8:40,Jets,Mark Sanchez 1 yard rush (Nick Folk kick),0,7
,4:36,Chiefs,Ryan Succop 53 yard field goal,3,7
2.0,10:02,Jets,Santonio Holmes 4 yard pass from Mark Sanchez (Nick Folk kick),3,14
,3:56,Jets,Shonn Greene 7 yard rush (Nick Folk kick),3,21
,1:15,Jets,LaDainian Tomlinson 19 yard pass from Mark Sanchez (Nick Folk kick),3,28
3.0,4:06,Jets,Mark Sanchez 3 yard rush (Nick Folk kick),3,35
4.0,12:58,Chiefs,Jerheme Urban 24 yard pass from Tyler Palko (Ryan Succop kick),10,35
,3:37,Jets,"Safety, Jackie Battle tackled in the end zone by Sione Pouha.",10,37
