Unnamed: 0,PIT,DEN
First Downs,25,17
Rush-Yds-TDs,16-75-0,23-124-1
Cmp-Att-Yd-TD-INT,42-58-464-2-2,15-28-197-2-0
Sacked-Yards,2-12,2-13
Net Pass Yards,452,184
Total Yards,527,308
Fumbles-Lost,4-2,0-0
Turnovers,4,0
Penalties-Yards,5-34,6-50
Third Down Conv.,5-14,3-11
Fourth Down Conv.,1-1,0-0
Time of Possession,35:00,25:00
