Quarter,Time,Tm,Detail,PIT,DEN
1.0,6:26,Broncos,Brandon McManus 41 yard field goal,0,3
2.0,6:29,Steelers,Chris Boswell 41 yard field goal,3,3
,3:27,Broncos,Matt LaCosse 10 yard pass from Case Keenum (Brandon McManus kick),3,10
,0:00,Steelers,Alejandro Villanueva 2 yard pass from Chris Boswell (Chris Boswell kick),10,10
3.0,10:32,Steelers,JuJu Smith-Schuster 97 yard pass from Ben Roethlisberger (Chris Boswell kick),17,10
,5:30,Broncos,Emmanuel Sanders 5 yard pass from Case Keenum (Brandon McManus kick),17,17
4.0,9:17,Broncos,Phillip Lindsay 2 yard rush (Brandon McManus kick),17,24
