Unnamed: 0,ARI,CAR
First Downs,20,11
Rush-Yds-TDs,37-132-1,13-40-0
Cmp-Att-Yd-TD-INT,23-32-207-2-1,22-36-197-1-2
Sacked-Yards,1-1,2-17
Net Pass Yards,206,180
Total Yards,338,220
Fumbles-Lost,2-0,2-1
Turnovers,1,3
Penalties-Yards,7-61,6-76
Third Down Conv.,6-15,2-10
Fourth Down Conv.,0-2,1-3
Time of Possession,38:35,21:25
