Unnamed: 0,PIT,BUF
First Downs,14,21
Rush-Yds-TDs,17-47-0,27-104-0
Cmp-Att-Yd-TD-INT,21-37-187-2-2,24-43-238-2-1
Sacked-Yards,1-10,1-8
Net Pass Yards,177,230
Total Yards,224,334
Fumbles-Lost,1-0,3-1
Turnovers,2,2
Penalties-Yards,3-55,7-48
Third Down Conv.,1-10,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,24:45,35:15
