Quarter,Time,Tm,Detail,PIT,BUF
2.0,8:21,Steelers,James Washington 19 yard pass from Ben Roethlisberger (Chris Boswell kick),7,0
,1:42,Bills,Tyler Bass 34 yard field goal,7,3
,0:52,Bills,Taron Johnson 51 yard interception return (Tyler Bass kick failed),7,9
3.0,10:23,Bills,Stefon Diggs 19 yard pass from Josh Allen (Tyler Bass kick),7,16
,7:02,Bills,Gabriel Davis 13 yard pass from Josh Allen (Tyler Bass kick),7,23
4.0,12:18,Steelers,JuJu Smith-Schuster 3 yard pass from Ben Roethlisberger (Eric Ebron pass from Ben Roethlisberger),15,23
,8:07,Bills,Tyler Bass 23 yard field goal,15,26
