Unnamed: 0,TEN,KAN
First Downs,20,13
Rush-Yds-TDs,40-332-4,17-58-1
Cmp-Att-Yd-TD-INT,11-18-123-0-0,23-37-235-0-0
Sacked-Yards,0-0,3-21
Net Pass Yards,123,214
Total Yards,455,272
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,8-55,8-60
Third Down Conv.,5-11,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,30:50,29:10
