Quarter,Time,Down,ToGo,Location,MIA,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,DET 20,0,0,Theo Riddick left tackle for 3 yards (tackle by Randy Starks),0.280,0.140
1,14:22,2,7,DET 23,0,0,Matthew Stafford pass complete short left to Golden Tate for 2 yards (tackle by Cortland Finnegan),0.140,-0.300
1,13:39,3,5,DET 25,0,0,Matthew Stafford pass complete short left to Calvin Johnson for 5 yards (tackle by Reshad Jones). Penalty on Cameron Wake: Defensive Offside (Declined),-0.300,0.940
1,13:18,1,10,DET 30,0,0,Reggie Bush left end for 6 yards (tackle by Cortland Finnegan and Olivier Vernon),0.940,1.200
1,12:33,2,4,DET 36,0,0,Matthew Stafford pass complete short left to Reggie Bush for 5 yards (tackle by Reshad Jones),1.200,1.660
1,11:54,1,10,DET 41,0,0,"Matthew Stafford pass incomplete deep left intended for Calvin Johnson. Penalty on Jared Odrick: Defensive Offside, 5 yards (no play)",1.660,2.390
1,11:48,1,5,DET 46,0,0,Matthew Stafford pass complete short right to Golden Tate for 4 yards (tackle by Philip Wheeler),2.390,2.340
1,11:06,2,1,,0,0,Matthew Stafford pass incomplete,2.340,1.620
1,11:00,3,1,,0,0,"Penalty on Brandon Pettigrew: False Start, 5 yards (no play)",1.620,0.960
1,11:00,3,6,DET 45,0,0,Matthew Stafford sacked by Cameron Wake for 0 yards,0.960,-0.390
1,10:26,4,6,DET 45,0,0,Sam Martin pass complete short middle to Jed Collins for 24 yards (tackle by Jarvis Landry),-0.390,3.510
1,9:33,1,10,MIA 31,0,0,Joique Bell right tackle for 4 yards (tackle by Derrick Shelby),3.510,3.510
1,8:52,2,6,MIA 27,0,0,"Matthew Stafford pass incomplete short left intended for Theo Riddick (defended by Koa Misi). Penalty on Philip Wheeler: Unnecessary Roughness, 14 yards",3.510,4.710
1,8:48,1,10,MIA 13,0,0,"Matthew Stafford pass complete short left to Golden Tate for 2 yards (tackle by Philip Wheeler). Penalty on Dominic Raiola: Ineligible Downfield Pass, 5 yards (no play)",4.710,4.290
1,8:18,1,15,MIA 18,0,0,Reggie Bush up the middle for 8 yards (tackle by Koa Misi),4.290,4.580
1,7:39,2,7,MIA 10,0,0,Reggie Bush left end for 5 yards (tackle by Jared Odrick),4.580,4.780
1,7:04,3,2,MIA 5,0,0,Theo Riddick left end for -3 yards (tackle by Koa Misi),4.780,2.970
1,6:24,4,5,MIA 8,0,3,Matt Prater 26 yard field goal good,2.970,3.000
1,6:24,,,DET 35,0,3,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
1,6:19,1,10,MIA 20,0,3,Lamar Miller right end for -2 yards (tackle by Ndamukong Suh),0.280,-0.630
1,5:41,2,12,MIA 18,0,3,Ryan Tannehill sacked by Ndamukong Suh for -10 yards,-0.630,-2.820
1,4:55,3,22,MIA 8,0,3,Lamar Miller right tackle for 5 yards (tackle by DeAndre Levy),-2.820,-2.490
1,4:18,4,17,MIA 13,0,3,"Brandon Fields punts 49 yards, returned by Jeremy Ross for 13 yards (tackle by Rishard Matthews)",-2.490,-2.320
1,4:06,1,10,MIA 49,0,9,"Matthew Stafford pass complete deep middle to Calvin Johnson for 49 yards, touchdown",2.320,7.000
1,4:06,,,MIA 2,0,10,Matt Prater kicks extra point good,0.000,0.000
1,4:06,,,DET 35,0,10,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
1,3:58,1,10,MIA 20,0,10,Jarvis Landry left end for -8 yards (tackle by Ezekiel Ansah),0.280,-1.360
1,3:19,2,18,MIA 12,0,10,Ryan Tannehill pass complete short middle to Jarvis Landry for 6 yards (tackle by DeAndre Levy),-1.360,-1.360
1,2:39,2,18,MIA 12,0,10,Timeout #1 by Miami Dolphins,-1.360,-1.330
1,2:39,3,12,MIA 18,0,10,Ryan Tannehill sacked by Ezekiel Ansah for -11 yards,-1.330,-2.490
1,2:00,4,23,MIA 7,0,10,"Brandon Fields punts 40 yards, fair catch by Jeremy Ross",-2.490,-2.460
1,1:52,1,10,MIA 47,0,10,Matthew Stafford pass incomplete short middle intended for Golden Tate (defended by Louis Delmas),2.460,1.910
1,1:48,2,10,MIA 47,0,10,"Matthew Stafford pass complete short right to Calvin Johnson for 13 yards (tackle by Brent Grimes and Koa Misi). Penalty on Calvin Johnson: Offensive Pass Interference, 10 yards (no play)",1.910,0.560
1,1:20,2,20,DET 43,0,10,Matthew Stafford pass incomplete short middle intended for Joique Bell,0.560,-0.100
1,1:15,3,20,DET 43,0,10,Matthew Stafford pass complete short left to Golden Tate for 9 yards (tackle by Dion Jordan),-0.100,0.070
1,0:41,4,11,MIA 48,0,10,"Sam Martin punts 48 yards, touchback",0.070,-0.280
1,0:32,1,10,MIA 20,0,10,Ryan Tannehill pass complete short right to Jarvis Landry for 11 yards (tackle by Darius Slay and James Ihedigbo),0.280,1.000
1,0:02,1,10,MIA 31,0,10,Ryan Tannehill pass complete short left to Mike Wallace for 10 yards (tackle by Don Carey),1.000,1.660
Quarter,Time,Down,ToGo,Location,MIA,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 41,0,10,Ryan Tannehill pass incomplete short middle intended for Jarvis Landry,1.660,1.120
2,14:56,2,10,MIA 41,0,10,Lamar Miller right tackle for 5 yards (tackle by C.J. Mosley),1.120,1.090
2,14:18,3,5,MIA 46,0,10,Ryan Tannehill pass complete short left to Jarvis Landry for 4 yards (tackle by Cassius Vaughn),1.090,-0.060
2,13:41,4,1,,0,10,"Penalty on MIA: Illegal Shift, 5 yards (no play)",-0.060,-0.390
2,13:23,4,6,MIA 45,0,10,"Brandon Fields punts 44 yards, returned by Jeremy Ross for no gain",-0.390,0.370
2,13:14,1,10,DET 11,0,10,Joique Bell left tackle for -1 yards (tackle by Earl Mitchell and Randy Starks),-0.370,-0.850
2,12:31,2,11,DET 10,0,10,Matthew Stafford pass complete short left to Joique Bell for 28 yards (tackle by Koa Misi),-0.850,1.470
2,11:57,1,10,DET 38,0,10,Joique Bell left tackle for 16 yards (tackle by Louis Delmas),1.470,2.520
2,11:14,1,10,MIA 46,0,10,Joique Bell left tackle for 5 yards (tackle by Olivier Vernon and Koa Misi),2.520,2.650
2,10:32,2,5,MIA 41,0,10,Theo Riddick right end for no gain (tackle by Earl Mitchell and Jason Trusnik),2.650,1.950
2,9:56,3,5,MIA 41,0,10,Matthew Stafford pass incomplete deep left intended for Calvin Johnson,1.950,0.530
2,9:50,4,5,MIA 41,0,10,Sam Martin pass complete short right to Isa Abdul-Quddus for 3 yards (tackle by Walt Aikens),0.530,-1.470
2,9:41,1,10,MIA 38,0,10,Daniel Thomas left tackle for 2 yards (tackle by Ndamukong Suh and Devin Taylor),1.470,1.190
2,9:02,2,8,MIA 40,0,10,Ryan Tannehill pass incomplete deep middle intended for Mike Wallace,1.190,0.500
2,8:54,3,8,MIA 40,0,10,"Ryan Tannehill pass complete short middle to Jarvis Landry for 12 yards (tackle by Cassius Vaughn). Penalty on Tahir Whitehead: Roughing the Passer, 15 yards",0.500,3.380
2,8:32,1,10,DET 33,0,10,Daniel Thomas right tackle for 7 yards (tackle by Rashean Mathis),3.380,3.780
2,7:52,2,3,DET 26,0,10,Ryan Tannehill pass complete short left to Mike Wallace for 4 yards (tackle by Rashean Mathis and DeAndre Levy),3.780,4.110
2,7:07,1,10,DET 22,0,10,Daniel Thomas left tackle for -1 yards (tackle by Ndamukong Suh),4.110,3.430
2,6:28,2,11,DET 23,0,10,Ryan Tannehill pass complete short middle to Brandon Gibson for 4 yards (tackle by Tahir Whitehead),3.430,3.260
2,5:46,3,7,DET 19,0,10,"Ryan Tannehill pass incomplete short right intended for Gator Hoskins is intercepted by James Ihedigbo at DET-14 and returned for 70 yards. Penalty on James Ihedigbo: Face Mask (15 Yards), 15 yards",3.260,-3.510
