Quarter,Time,Tm,Detail,DAL,ATL
1.0,2:56,Cowboys,Brett Maher 21 yard field goal,3,0
2.0,14:52,Falcons,Matt Bryant 41 yard field goal,3,3
,0:29,Falcons,Matt Bryant 45 yard field goal,3,6
3.0,10:15,Cowboys,Brett Maher 50 yard field goal,6,6
,7:12,Falcons,Matt Bryant 53 yard field goal,6,9
4.0,14:19,Cowboys,Dak Prescott 4 yard rush (Brett Maher kick failed),12,9
,12:26,Cowboys,Ezekiel Elliott 23 yard rush (Brett Maher kick),19,9
,8:26,Falcons,Matt Bryant 21 yard field goal,19,12
,1:52,Falcons,Julio Jones 34 yard pass from Matt Ryan (Matt Bryant kick),19,19
,0:00,Cowboys,Brett Maher 42 yard field goal,22,19
