Unnamed: 0,DAL,ATL
First Downs,20,19
Rush-Yds-TDs,29-132-2,18-80-0
Cmp-Att-Yd-TD-INT,22-32-208-0-0,24-34-291-1-1
Sacked-Yards,2-17,3-17
Net Pass Yards,191,274
Total Yards,323,354
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,2-20,2-15
Third Down Conv.,7-13,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,31:57,28:03
