Unnamed: 0,STL,CAR
First Downs,8,20
Rush-Yds-TDs,8-31-0,43-242-0
Cmp-Att-Yd-TD-INT,19-34-142-0-1,13-26-191-1-2
Sacked-Yards,7-62,3-22
Net Pass Yards,80,169
Total Yards,111,411
Fumbles-Lost,1-1,5-1
Turnovers,2,3
Penalties-Yards,6-40,9-80
Third Down Conv.,2-12,6-15
Fourth Down Conv.,0-0,0-0
Time of Possession,21:17,38:43
