Quarter,Time,Tm,Detail,STL,CAR
2.0,4:06,Panthers,John Kasay 40 yard field goal,0,3
,1:31,Panthers,Steve Smith Sr. 62 yard pass from Jake Delhomme (John Kasay kick),0,10
3.0,1:01,Panthers,John Kasay 34 yard field goal,0,13
4.0,2:24,Panthers,"Safety,",0,15
