Quarter,Time,Tm,Detail,OAK,HOU
1.0,8:09,Texans,Kevin Walter 5 yard pass from Matt Schaub (Neil Rackers kick),0,7
,3:26,Raiders,Sebastian Janikowski 54 yard field goal,3,7
2.0,14:55,Raiders,Sebastian Janikowski 55 yard field goal,6,7
,11:57,Texans,Joel Dreessen 56 yard pass from Matt Schaub (Neil Rackers kick),6,14
,1:09,Raiders,Darrius Heyward-Bey 34 yard pass from Jason Campbell (pass failed),12,14
3.0,5:12,Raiders,Sebastian Janikowski 50 yard field goal,15,14
,1:59,Texans,Neil Rackers 54 yard field goal,15,17
4.0,14:50,Raiders,Chaz Schilens 18 yard pass from Jason Campbell (Sebastian Janikowski kick),22,17
,10:00,Raiders,Sebastian Janikowski 42 yard field goal,25,17
,2:56,Texans,Neil Rackers 40 yard field goal,25,20
