Unnamed: 0,MIA,WAS
First Downs,17,19
Rush-Yds-TDs,20-66-0,41-191-1
Cmp-Att-Yd-TD-INT,24-38-219-1-0,12-21-222-0-2
Sacked-Yards,2-12,2-13
Net Pass Yards,207,209
Total Yards,273,400
Fumbles-Lost,1-1,2-0
Turnovers,1,2
Penalties-Yards,8-61,7-65
Third Down Conv.,4-13,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,30:33,35:03
