Unnamed: 0,DET,GNB
First Downs,21,17
Rush-Yds-TDs,25-104-2,28-103-0
Cmp-Att-Yd-TD-INT,23-34-224-0-0,17-27-205-1-1
Sacked-Yards,1-5,2-17
Net Pass Yards,219,188
Total Yards,323,291
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,5-75,4-35
Third Down Conv.,4-12,4-12
Fourth Down Conv.,2-2,1-2
Time of Possession,27:45,32:15
