Quarter,Time,Tm,Detail,WAS,TAM
1.0,3:50,Buccaneers,Matt Bryant 26 yard field goal,0,3
,1:01,Redskins,Nick Novak 45 yard field goal,3,3
3.0,9:34,Redskins,Chris Cooley 3 yard pass from Jason Campbell (Nick Novak kick),10,3
,0:58,Buccaneers,Anthony Becht 2 yard pass from Bruce Gradkowski (Matt Bryant kick),10,10
4.0,9:35,Buccaneers,Joey Galloway 34 yard pass from Bruce Gradkowski (Matt Bryant kick),10,17
,3:50,Buccaneers,Matt Bryant 31 yard field goal,10,20
,0:32,Redskins,Todd Yoder 4 yard pass from Jason Campbell (Nick Novak kick),17,20
