Unnamed: 0,WAS,TAM
First Downs,15,19
Rush-Yds-TDs,21-59-0,42-181-0
Cmp-Att-Yd-TD-INT,19-34-196-2-0,14-21-178-2-1
Sacked-Yards,1-3,0-0
Net Pass Yards,193,178
Total Yards,252,359
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,3-19,4-35
Third Down Conv.,4-13,6-13
Fourth Down Conv.,2-2,0-0
Time of Possession,23:59,36:01
