Quarter,Time,Tm,Detail,PHI,DAL
1.0,9:00,Eagles,Miles Sanders 4 yard rush (Jake Elliott kick),7,0
,6:08,Cowboys,Greg Zuerlein 35 yard field goal,7,3
,5:48,Eagles,DeSean Jackson 81 yard pass from Jalen Hurts (Jake Elliott kick),14,3
2.0,13:09,Cowboys,Michael Gallup 21 yard pass from Andy Dalton (Greg Zuerlein kick),14,10
,5:53,Cowboys,Greg Zuerlein 20 yard field goal,14,13
,2:09,Eagles,Jake Elliott 38 yard field goal,17,13
,0:12,Cowboys,Michael Gallup 7 yard pass from Andy Dalton (Greg Zuerlein kick),17,20
3.0,12:26,Cowboys,CeeDee Lamb 52 yard pass from Andy Dalton (Greg Zuerlein kick),17,27
,8:31,Cowboys,Greg Zuerlein 21 yard field goal,17,30
4.0,1:53,Cowboys,CeeDee Lamb 19 yard rush (Greg Zuerlein kick),17,37
