#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,9:00,DAL 25,6,2:52,58,Field Goal
2,1,5:48,DAL 25,3,1:20,9,Punt
3,1,2:24,DAL 37,10,4:15,63,Touchdown
4,2,9:16,DAL 23,7,3:23,75,Field Goal
5,2,2:09,DAL 25,11,1:57,75,Touchdown
6,3,15:00,DAL 25,5,2:34,75,Touchdown
7,3,10:53,DAL 17,6,2:22,80,Field Goal
8,3,6:07,DAL 15,3,2:08,9,Punt
9,3,1:48,DAL 10,3,1:10,17,Interception
10,4,14:00,DAL 25,6,3:46,31,Punt
11,4,6:33,DAL 20,3,2:20,0,Punt
12,4,3:54,DAL 13,5,2:01,87,Touchdown
13,4,0:30,DAL 31,1,0:30,-1,End of Game
