Unnamed: 0,PHI,DAL
First Downs,24,22
Rush-Yds-TDs,29-151-1,34-151-1
Cmp-Att-Yd-TD-INT,21-39-342-1-2,22-30-377-3-1
Sacked-Yards,3-16,2-15
Net Pass Yards,326,362
Total Yards,477,513
Fumbles-Lost,4-1,0-0
Turnovers,3,1
Penalties-Yards,12-115,5-73
Third Down Conv.,7-17,6-13
Fourth Down Conv.,1-2,0-0
Time of Possession,29:22,30:38
