Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tyrod Taylor,BAL,15,25,149,0,1,3,30,23,60.2,9,65,1,28,0,0,0,0,,0,0
Joe Flacco,BAL,4,8,34,0,0,1,7,24,61.5,0,0,0,,0,0,0,0,,0,0
Bernard Pierce,BAL,0,0,0,0,0,0,0,,,22,89,0,14,4,1,4,0,4,0,0
Anthony Allen,BAL,0,0,0,0,0,0,0,,,10,41,1,20,1,1,7,0,7,0,0
Sam Koch,BAL,0,0,0,0,0,0,0,,,1,10,0,10,0,0,0,0,,0,0
Ray Rice,BAL,0,0,0,0,0,0,0,,,3,5,0,3,0,0,0,0,,0,0
Ed Dickson,BAL,0,0,0,0,0,0,0,,,0,0,0,,8,6,64,0,15,0,0
David Reed,BAL,0,0,0,0,0,0,0,,,0,0,0,,4,3,44,0,23,0,0
Jacoby Jones,BAL,0,0,0,0,0,0,0,,,0,0,0,,5,3,36,0,24,0,0
Deonte Thompson,BAL,0,0,0,0,0,0,0,,,0,0,0,,4,4,26,0,11,0,0
Vonta Leach,BAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,2,0,2,0,0
Dennis Pitta,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Billy Bajema,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Torrey Smith,BAL,0,0,0,0,0,0,0,,,1,-4,0,-4,1,0,0,0,,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andy Dalton,CIN,10,15,78,1,0,2,1,17,101.5,2,4,0,3,0,0,0,0,,0,0
Bruce Gradkowski,CIN,5,11,65,0,0,0,0,44,64.6,3,-2,0,0,0,0,0,0,,0,0
Brian Leonard,CIN,0,0,0,0,0,0,0,,,10,34,0,9,2,2,1,0,3,0,0
Cedric Peerman,CIN,0,0,0,0,0,0,0,,,5,14,0,7,0,0,0,0,,0,0
Brandon Tate,CIN,0,0,0,0,0,0,0,,,0,0,0,,5,3,53,0,44,0,0
Marvin Jones,CIN,0,0,0,0,0,0,0,,,0,0,0,,8,5,45,1,14,0,0
A.J. Green,CIN,0,0,0,0,0,0,0,,,0,0,0,,2,2,26,0,17,0,0
Andrew Hawkins,CIN,0,0,0,0,0,0,0,,,0,0,0,,3,3,18,0,8,0,0
Jermaine Gresham,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
John Conner,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Orson Charles,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ryan Whalen,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Dan Herron,CIN,0,0,0,0,0,0,0,,,1,-3,0,-3,1,0,0,0,,0,0
