Unnamed: 0,BAL,CIN
First Downs,23,9
Rush-Yds-TDs,46-206-2,21-47-0
Cmp-Att-Yd-TD-INT,19-33-183-0-1,15-26-143-1-0
Sacked-Yards,4-37,2-1
Net Pass Yards,146,142
Total Yards,352,189
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,10-102,4-40
Third Down Conv.,5-18,3-13
Fourth Down Conv.,2-2,0-0
Time of Possession,35:39,24:21
